,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
0,Data Analyst,7-Eleven (Corporate Stores),80000.0,Irving,TX,[],"['Power BI', 'Microsoft Office', 'Analysis skills', 'Quantitative analysis', 'Accounting']",['Organizational skills'],[]
1,Data Analyst,Assured Consulting Solutions,190000.0,Riverdale Park,MD,"[""Master's degree"", ""Bachelor's degree""]","['Data modeling', 'TS/SCI', 'R', 'NoSQL', 'SQL', 'AI', 'Python']",[],"['Jira', 'Program management', 'Kanban']"
2,Data Analyst,Axcelis Technologies Inc.,94000.0,Beverly,MA,"[""Bachelor's degree""]",[],[],[]
3,Data Analyst,BDR Solutions,190000.0,Reston,VA,"[""Bachelor's degree""]","['Power BI', 'Data mining', 'Computer Science', 'Full-stack development', 'TS/SCI', 'Writing skills', 'R', 'Data analysis skills', 'Microsoft Office', 'Tableau', 'Application development', 'SQL', 'Analysis skills', 'Machine learning', 'Software development', 'Predictive analytics', 'Data visualization', 'AI', 'Python', 'Analytics']","['Research', 'Communication skills']",[]
4,Data Analyst,Biogen,109500.0,Weston,MA,"[""Master's degree"", ""Bachelor's degree""]","['Microsoft Powerpoint', 'Microsoft Excel', 'Relational databases', 'R', 'Marketing mix modeling', 'Java', 'Analysis skills', 'Machine learning', 'Scala', 'Deep learning', 'Regression analysis', 'Data visualization', 'Clustering', 'Python']",[],[]
5,Data Analyst,Block,140000.0,San Francisco,CA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy', 'Master of Science']","['SQL', 'Analysis skills', 'Machine learning', 'Scripting', 'Clustering', 'Python', 'Analytics']",['Communication skills'],['Product management']
6,Data Analyst,Business Integra Inc,150641.0,Fort Belvoir,VA,[],"['Analysis skills', 'Machine learning', 'Data collection', 'Python']",[],[]
7,Data Analyst,CalypsoAI,132500.0,Remote,Remote,[],"['TensorFlow', 'PyTorch', 'C++', 'Machine learning', 'Natural language processing', 'AI', 'Python']",['Research'],[]
8,Data Analyst,CoreLogic,104500.0,San Diego,CA,"[""Master's degree""]","['TensorFlow', 'PyTorch', 'R', 'Analysis skills', 'C++', 'C', 'Machine learning', 'Deep learning', 'AI', 'Python']","['Leadership', 'Communication skills']",[]
9,Data Analyst,Etsy,120000.0,Brooklyn,NY,[],"['R', 'E-commerce', 'SQL', 'Analysis skills', 'Scripting', 'Computer networking', 'Python']",[],[]
10,Data Analyst,FI Consulting,138500.0,Arlington,VA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['TensorFlow', 'Oracle', 'Data mining', 'XML', 'PyTorch', 'SAS', 'Big data', 'Data structures', 'R', 'UNIX', 'SPARQL', 'Databases', 'SQL', 'Machine learning', 'Deep learning', 'Risk management', 'Natural language processing', 'RDF', 'Teradata', 'Data collection', 'Data visualization', 'Data warehouse', 'Python', 'Hadoop']",['Communication skills'],"['Azure', 'Google Cloud Platform', 'AWS']"
11,Data Analyst,Five Below,177600.0,Philadelphia,PA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['Computer science', 'MATLAB', 'Power BI', 'Data mining', 'SAS', 'R', 'Tableau', 'SQL', 'Math', 'Machine learning', 'Predictive analytics', 'Python']",['Communication skills'],[]
