job title,company name,location,salary,skills
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Health insurance
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,401(k)
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Paid time off
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,401(k) matching
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Microsoft Excel
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Management
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Computer Science
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,NumPy
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Master's degree
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,SQL
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Pandas
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Analysis skills
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Bachelor's degree
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Machine learning
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Scripting
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Regression analysis
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,1 year
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Communication skills
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Python
Data Scientist Senior Associate,Home Partners of America Inc,"Chicago, IL",Estimated: $86.8K - $110K a year,Analytics
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,Health insurance
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,Tuition reimbursement
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,Retirement plan
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,Bachelor of Science
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,Business development
Global Services Senior Data Scientist Vice President,"JPMorgan Chase Bank, N.A.","Chicago, IL",null,AWS
