Skills,Tech/Soft,ITEC 2140 Programming Fundamentals,ITEC 2150  Intermediate Programming,ITEC 2201  Introduction to Information Systems,ITEC 3100  Introduction to Networks,ITEC 3110  Design Concepts and Techniques for Digital Media,ITEC 3150  Advanced Programming,ITEC 3200  Introduction to Databases,ITEC 3300  Information Security,ITEC 3350  Digital Commerce,ITEC 3450  Computer Graphics and Multimedia,ITEC 3550  User Centered Design,ITEC 3600  Operating Systems,ITEC 3700  Systems Analysis and Design,ITEC 3860  Software Development I,ITEC 3870  Software Development II,ITEC 3900  Professional Practice and Ethics,ITEC 4000  Cloud Computing Technologies,ITEC 4100  Advanced Networks,ITEC 4110  Digital Media Capstone Project,ITEC 4130  Human Computer Interaction,ITEC 4150  Enterprise Process Integration,ITEC 4170  International Studies in Information Technology,ITEC 4200  Advanced Databases,ITEC 4210  Information Analytics,ITEC 4220  Advanced Data Analytics,ITEC 4230  Data Science & Analytics Capstone Project,ITEC 4250  Embedded Systems,ITEC 4260  Software Testing and QA,ITEC 4310  Operating Systems Security,ITEC 4320  Internet Security,ITEC 4330  System Administration,ITEC 4400  Special Topics in Information Technology,ITEC 4450  Web Development,ITEC 4550  Mobile Application Development,ITEC 4650  Game Development,ITEC 4700  Artificial Intelligence,ITEC 4750  Enterprise Architecture Design,ITEC 4810  Information Technology Project I,ITEC 4820  Information Technology Project II,ITEC 4850  3D Modeling and Computer Animation,ITEC 4860  Software Development Project,ITEC 4900  Information Technology Internship,ITEC 1001  Introduction to Computing,ITEC 1001H  Introduction to Computing Honors,ITEC 2110  Digital Media,ITEC 2110-H Digital Media,ITEC 2120  Introduction to Programming,ITEC 2130  Web Technologies,ITEC 2135  Engineering Graphics and Design
Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teamwork,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javascript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Editing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
