,job title,skills
0,Digital Media Specialist,Microsoft Project
1,Digital Media Specialist,Digital Marketing Specialist
2,Digital Media Specialist,HTML5
3,Digital Marketing Specialist,Adobe Creative Suite
4,Digital Marketing Specialist,Adobe Acrobat
5,Digital Marketing Specialist,Adobe Photoshop
6,Digital Marketing Specialist,Social media management
7,Public Information Specialist  ,Public relations
8,Public Information Specialist  ,Adobe Lightroom
9,Public Information Specialist  ,Adobe Premiere
10,Digital Media Specialist,Digital marketing
11,Digital Media Specialist,Photography
12,Digital Media Specialist,Continuous improvement
13,Digital Media Specialist,Social media management
14,Digital Marketing Specialist,Digital Marketing Specialist
15,Digital Marketing Specialist,Project management
16,Digital Marketing Specialist,MailChimp
17,Digital Marketing Specialist,Digital Marketing Specialist
18,Digital Marketing Specialist,B2B
19,Digital Marketing Specialist,Copywriting
20,Digital Media Specialist,Content creation
21,Digital Media Specialist,Social media management
22,Digital Media Specialist,Apache Hive
23,Digital Marketing Specialist,Digital Marketing Specialist
24,Digital Marketing Specialist,Digital marketing
25,Digital Marketing Specialist,Adobe Creative Suite
26,Digital Marketing Specialist,Google AdWords
27,Digital Marketing Specialist,Digital Marketing Specialist
28,Digital Marketing Specialist,Salesforce
29,Digital Marketing Specialist,Forecasting
30,Digital Media Specialist,Facebook Advertising
31,Digital Media Specialist,Social media management
32,Digital Media Specialist,Google Ads
33,Digital Marketing Specialist,Digital Marketing Specialist
34,Digital Marketing Specialist,SEO
35,Digital Marketing Specialist,Pricing
36,Digital Media Specialist,Digital Marketing Specialist
37,Digital Media Specialist,Adobe Creative Suite
38,Digital Media Specialist,WordPress
39,Digital Marketing Specialist,Digital Marketing Specialist
40,Digital Marketing Specialist,Copywriting
41,Digital Marketing Specialist,SEO
42,Digital Media Specialist,Digital Marketing Specialist
43,Digital Media Specialist,Email marketing
44,Digital Media Specialist,MailChimp
45,Digital Media Specialist,Social media marketing
46,Advertising Specialist,
47,Digital Marketing Specialist,Digital Marketing Specialist
48,Digital Marketing Specialist,Search engines
49,Digital Marketing Specialist,Photography
50,Digital Marketing Specialist,Digital Marketing Specialist
51,Digital Marketing Specialist,Adobe InDesign
52,Digital Marketing Specialist,Adobe Creative Suite
53,Digital Media Specialist,Pivot tables
54,Digital Media Specialist,Negotiation
55,Digital Media Specialist,Email marketing
56,Digital Media Specialist,HTML5
57,Digital Media Specialist,MailChimp
58,SEO Specialist,HTML5
59,SEO Specialist,WordPress
60,SEO Specialist,Project management software
61,Digital Media Specialist,Analytics
62,Digital Media Specialist,Digital marketing
63,Digital Media Specialist,Budgeting
64,Digital Marketing Specialist,Digital Marketing Specialist
65,Digital Marketing Specialist,Email marketing
66,Digital Marketing Specialist,Salesforce
67, Specialist,Digital Media Specialist
68, Specialist,SEO tools
69, Specialist,Digital marketing
70,Digital Marketing Specialist,Adobe InDesign
71,Digital Marketing Specialist,Adobe Photoshop
72,Digital Marketing Specialist,Adobe Illustrator
73,Digital Strategist,Digital Marketing Specialist
74,Digital Strategist,Web analytics
75,Digital Strategist,SEO tools
76,Digital Media Specialist,Project management
