,job title,skills
0,Technician,
1,Specialist,
2,Material Handler,ERP Developer
3,Specialist,
4,Quality Inspection ,
5,Picker Packer,
6,Supply Chain Operator,
7,Administrator,
8,Assembler,Softwaremissing qualification
9,Specialist,
10,Workflow Controller,
11,Operations     ,
12,Coordinator,
13,Buyer,
14,Technician,
15,Specialist,
16,Supply Chain Operator,
17,Logistics   ,
18,Financial Systems Accountant,
19,Trailer Reviewer,
20,Material Handler,
21,Supply Chain Operator,
22,Supply Chain Operator,ERP Developer
23,Administrator,
24,Production Packer ,Pricingmissing qualification
25,Assembler,Assemblymissing qualification
26,Supply Chain Operator,
27,Fabrication Tech  ,
28,Technician,
29,Coordinator,
30,Specialist,
31,Turf Tester,
32,Specialist,
33,Buyer,
34,Assembler,
35,Assembler,Assemblymissing qualification
36,ERP Developer,
37,Turf Tester,
38,Business Analyst,
39,Supply Chain Operator,
40,ERP Developer,
41,Material Handler,
42,Software Engineer,
43,Java Developer,
44,Turf Tester,
45,ERP Developer,
46,Software Engineer,
47,Net New Logo Sales Hunter,
48,Software Engineer,CompTIA Security+missing qualification
49,Assembler,Assemblymissing qualification
50,Material Handler,
51,Technician,Softwaremissing qualification
52,Software Engineer,
53,Specialist,
54,Specialist,
55,Specialist,
56,Technical Writer,
57,Supply Chain Operator,
