,job title,skills
0,Programmer,Research
1,Programmer,NET
2,Programmer,
3,Full Stack Developer,ERP systems
4,Mobile Engineer,Assembly
5,Mobile Engineer,Kotlin
6,Mobile Engineer,Software development
7,Mobile Developer,XML
8,Mobile Developer,Mobile development
9,Mobile Developer,UX
10,Software Engineer,SQL
11,Software Engineer,XML
12,Software Engineer,Nodejs
13,Software Developer,NoSQL
14,Software Developer,SQL
15,Software Developer,Git
16,Software Engineer,Software troubleshooting
17,Software Engineer,
18,Software Engineer,Software development
19,Software Engineer,XML
20,Software Engineer,Git
21,Software Engineer,AJAX
22,Developer,SQL
23,Developer,Visual Basic
24,Developer,XML
25,Database Developer,Relational databases
26,Database Developer,Microsoft SQL Server
27,Database Developer,MySQL
28,Software Engineer,SharePoint
29,Software Engineer,Software development
30,Software Engineer,Natural language processing
31,Software Developer,NoSQL
32,Software Developer,SQL
33,Software Developer,ASPNET
34,Software Engineer,Software development
35,Software Engineer,Fullstack development
36,Software Engineer,DevOps
37,Software Engineer,ntegration testing
38,Software Engineer,PHP
39,Software Engineer,MySQL
40,Software Engineer,
41,Software Engineer,Visual Studio
42,Software Engineer,C++
43,Software Engineer,NoSQL
44,Software Engineer,SQL
45,Software Engineer,REST
46,Web Developer,Git
47,Web Developer,HTML5
48,Web Developer,Bootstrap
49,Software Engineer,Research
50,Software Engineer,Natural language processing
51,Software Engineer,MATLAB
52,Software Developer,Git
53,Software Developer,Software development
54,Software Developer,Backend development
55,Software Developer,ASPNET
56,Software Developer,Nodejs
57,Software Developer,Software development
58,Software Developer,SQL
59,Software Developer,Software development
60,Software Developer,Visual Studio
61,Software Engineer,SDLC
62,Programmer,
63,Software Developer,Kotlin
64,Software Developer,Software development
65,Software Developer,C#
66,Software Engineer,
67,Software Developer,SQL
68,Software Developer,ASPNET
69,Software Developer,ASME codes & standards
70,Software Engineer,SDLC
71,Programmer Analyst,
72,Programmer Analyst,VBA
73,Programmer Analyst,Scripting
74,Software Engineer,XML
75,Software Engineer,Git
76,Software Engineer,Software development
77,Software Developer,
78,Software Developer,Ecommerce
79,Software Developer,Pandas
80,Developer,AWS
81,Developer,HTML5
82,Developer,NetSuite
83,Software Developer,SQL
84,Software Developer,Presentation skills
85,Software Developer,Relational databases
86,Web Developer,SQL
87,Web Developer,GitHub
88,Web Developer,Nodejs
89,Software Engineer,NoSQL
90,Software Engineer,GitHub
91,Software Engineer,XML
92,Developer,
93,Developer,Hibernate
94,Developer,RESTful AP
95,Developer,
96,Developer,REST
97,Developer,Git
98,Developer,
99,Developer,RESTful AP
100,Developer,HTML5
101,Software Engineer,Git
102,Software Engineer,Kotlin
103,Software Engineer,Software development
104,Full Stack Developer,SQL
105,Full Stack Developer,Git
106,Full Stack Developer,Nodejs
107,Net Developer,ASPNET
108,Net Developer,Visual Basic
109,Net Developer,NET
110,Programmer,SAS
111,Software Developer,NET
112,Software Developer,
113,Software Developer,Software development
114,Mobile Developer,GitHub
115,Mobile Developer,Git
116,Mobile Developer,Continuous integration
117,Mobile Developer,Kotlin
118,Mobile Developer,Software development
119,Mobile Developer,C++
120,Software Engineer,
121,Software Engineer,C++
122,Software Engineer,Operating systems
123,Software Engineer,NoSQL
124,Software Engineer,SQL
125,Software Engineer,TypeScript
126,Software Developer,
127,Software Developer,Software development
128,Software Developer,C++
129,Software Developer,
130,Full Stack Developer,
131,Full Stack Developer,REST
132,Full Stack Developer,Testdriven development
133,Software Developer,Git
134,Software Developer,AWS
135,Software Developer,HTML5
136,Mobile Developer,SQL
137,Mobile Developer,NET
138,Mobile Developer,
139,Software Developer,ASPNET
140,Software Developer,HTML5
141,Software Developer,Microsoft SQL Server
142,Developer,XML
143,Developer,TypeScript
144,Developer,Continuous integration
145,Net Developer,Visual Basic
146,Net Developer,NET
147,Net Developer,Software troubleshooting
148,Mobile Developer,
149,Mobile Developer,Kotlin
150,Mobile Developer,Android
151,Software Developer,NoSQL
152,Software Developer,SQL
153,Software Developer,APs
154,Software Developer,Script
155,Software Developer,SQL
156,Software Developer,NET
157,Software Developer,
158,Web Developer,
159,Web Developer,Django
160,Web Developer,Analysis skills
161,Mobile Developer,Performance tuning
162,Mobile Developer,Git
163,Mobile Developer,Continuous integration
164,Mobile Developer,XML
165,Mobile Developer,
166,Mobile Developer,Git
167,Mobile Developer,
168,Software Developer,GitHub
169,Software Developer,
170,Software Developer,C++
171,Software Engineer,Software development
172,Software Engineer,Scripting
173,Software Engineer,Angular
174,Mobile Developer,Mobile
175,Mobile Developer,SDLC
176,Mobile Developer,A
177,Software Engineer,
178,Software Engineer,
179,Software Engineer,T
