,job title,skills,min salary,max salary,avg salary,soft skills,business skills,technical skills
0,Media Specialist,PMP,47000,65000,56000.0,,PMP,
1,Media Specialist,Legislation,47000,65000,56000.0,,Legislation,
2,Media Specialist,Assembly,47000,65000,56000.0,,,Assembly
3,Media Specialist,Adobe Illustrator,47000,65000,56000.0,,,Adobe Illustrator
4,Media Specialist,Digital design,47000,65000,56000.0,,,
5,Media Specialist,,47000,65000,56000.0,,,
6,Communications Specialist,Writing skills,72000,94000,83000.0,Writing skills,,
7,Communications Specialist,Project management,72000,94000,83000.0,,Project management,
8,Communications Specialist,Research,72000,94000,83000.0,Research,,
9,Communications Specialist,Content creation,72000,94000,83000.0,,,Content creation
10,Communications Specialist,Content development,72000,94000,83000.0,,,Content development
11,Communications Specialist,,72000,94000,83000.0,,,
12,Digital Marketing Specialist,Social media management,55000,80000,67500.0,,Social media management,
13,Digital Marketing Specialist,Google Ads,55000,80000,67500.0,,,Google Ads
14,Digital Marketing Specialist,AdRoll,55000,80000,67500.0,,,AdRoll
15,Digital Marketing Specialist,Content creation,55000,80000,67500.0,,,Content creation
16,Digital Marketing Specialist,Constant Contact,55000,80000,67500.0,,,
17,Marketing Specialist,CSS,40000,46000,43000.0,,,CSS
18,Marketing Specialist,AP style,40000,46000,43000.0,,AP style,
19,Marketing Specialist,Adobe Photoshop,40000,46000,43000.0,,,Adobe Photoshop
20,Marketing Specialist,Direct marketing,40000,46000,43000.0,,,Direct marketing
21,Marketing Specialist,Editing,40000,46000,43000.0,,,Editing
22,Marketing Specialist,,40000,46000,43000.0,,,
23,Marketing Specialist,Project management,68000,87000,77500.0,,Project management,
24,Marketing Specialist,Communication skills,68000,87000,77500.0,Communication skills,,
25,Marketing Specialist,Management,68000,87000,77500.0,,Management,
26,Marketing Specialist,Time management,68000,87000,77500.0,Time management,,
27,Marketing Specialist,Organizational skills,68000,87000,77500.0,Organizational skills,,
28,Communications Specialist,CSS,70000,80000,75000.0,,,CSS
29,Communications Specialist,Google AdWords,70000,80000,75000.0,,,Google AdWords
30,Communications Specialist,Digital marketing,70000,80000,75000.0,,,Digital marketing
31,Communications Specialist,Content development,70000,80000,75000.0,,,Content development
32,Communications Specialist,Communication skills,70000,80000,75000.0,Communication skills,,
33,Communications Specialist,,70000,80000,75000.0,,,
34,Communications Specialist,,70000,80000,75000.0,,,
35,Digital Marketing Specialist,,48000,65000,56500.0,,,
36,Digital Marketing Specialist,Social media management,43000,61000,52000.0,,Social media management,
37,Digital Marketing Specialist,CSS,43000,61000,52000.0,,,CSS
38,Digital Marketing Specialist,Marketing,43000,61000,52000.0,,,Marketing
39,Digital Marketing Specialist,Budgeting,43000,61000,52000.0,,,Budgeting
40,Digital Marketing Specialist,SEO,43000,61000,52000.0,,,SEO
41,Digital Marketing Specialist,,43000,61000,52000.0,,,
42,Digital Marketing Specialist,,43000,61000,52000.0,,,
43,Communications Specialist,Analysis skills,68000,90000,79000.0,,,Analysis skills
44,Communications Specialist,Vendor management,68000,90000,79000.0,,Vendor management,
45,Communications Specialist,Market research,68000,90000,79000.0,,Market research,
46,Communications Specialist,Communication skills,68000,90000,79000.0,Communication skills,,
47,Communications Specialist,Marketing,68000,90000,79000.0,,,Marketing
48,Communications Specialist,,68000,90000,79000.0,,,
49,Communications Specialist,Writing skills,54000,69000,61500.0,Writing skills,,
50,Communications Specialist,Project management,54000,69000,61500.0,,Project management,
51,Communications Specialist,Communication skills,54000,69000,61500.0,Communication skills,,
52,Communications Specialist,Marketing,54000,69000,61500.0,,,Marketing
53,Communications Specialist,Editing,54000,69000,61500.0,,,Editing
54,Communications Specialist,,54000,69000,61500.0,,,
55,Marketing Specialist,Social media management,77000,96000,86500.0,,Social media management,
56,Marketing Specialist,Project management,77000,96000,86500.0,,Project management,
57,Marketing Specialist,Analysis skills,77000,96000,86500.0,,,Analysis skills
58,Marketing Specialist,CSS,77000,96000,86500.0,,,CSS
59,Marketing Specialist,Microsoft Excel,77000,96000,86500.0,,,Microsoft Excel
60,Marketing Specialist,,77000,96000,86500.0,,,
61,Marketing Specialist,Hootsuite,80000,100000,90000.0,,,Hootsuite
62,Marketing Specialist,Google Docs,80000,100000,90000.0,,,Google Docs
63,Marketing Specialist,Marketing automation,80000,100000,90000.0,,,Marketing automation
64,Marketing Specialist,SaaS,80000,100000,90000.0,,,SaaS
65,Marketing Specialist,SEO,80000,100000,90000.0,,,SEO
66,Marketing Specialist,,80000,100000,90000.0,,,
67,Marketing Specialist,,80000,100000,90000.0,,,
68,Communications Specialist,Social media management,42000,57000,49500.0,,Social media management,
69,Communications Specialist,Military,42000,57000,49500.0,,,
70,Communications Specialist,Presentation skills,42000,57000,49500.0,Presentation skills,,
71,Communications Specialist,Communication skills,42000,57000,49500.0,Communication skills,,
72,Communications Specialist,Editing,42000,57000,49500.0,,,Editing
73,Communications Specialist,,42000,57000,49500.0,,,
74,Content Specialist,Social media management,49000,67000,58000.0,,Social media management,
75,Content Specialist,Final Cut Pro,49000,67000,58000.0,,,Final Cut Pro
