,job title,skills,min salary,max salary,avg salary
0,Financial Analyst,Accounting,97000,140000,118500.0
1,Financial Analyst,Power BI,97000,140000,118500.0
2,Financial Analyst,Microsoft Excel,97000,140000,118500.0
3,Financial Analyst,ERP systems,97000,140000,118500.0
4,Financial Analyst,Microsoft Powerpoint,97000,140000,118500.0
5,Financial Analyst,,97000,140000,118500.0
6,Business Systems Analyst,Software troubleshooting,65000,87000,76000.0
7,Business Systems Analyst,Project management,65000,87000,76000.0
8,Business Systems Analyst,IT,65000,87000,76000.0
9,Business Systems Analyst,Project management methodology,65000,87000,76000.0
10,Business Systems Analyst,,65000,87000,76000.0
11,Business Systems Analyst,,65000,87000,76000.0
12,Business Analyst,Driver's License,62000,88000,75000.0
13,Business Analyst,,62000,88000,75000.0
14,Business Analyst,,62000,88000,75000.0
15,IT Business Analyst,Microsoft Access,85000,110000,97500.0
16,IT Business Analyst,Microsoft Excel,85000,110000,97500.0
17,IT Business Analyst,SOX,85000,110000,97500.0
18,IT Business Analyst,SAP Supply Chain Management,85000,110000,97500.0
19,IT Business Analyst,Microsoft Powerpoint,85000,110000,97500.0
20,IT Business Analyst,,85000,110000,97500.0
21,IT Business Analyst,,85000,110000,97500.0
22,Business Analyst,Human resources,66000,86000,76000.0
23,Business Analyst,Payroll,66000,86000,76000.0
24,Business Analyst,Workday,66000,86000,76000.0
25,Business Analyst,Business analysis,66000,86000,76000.0
26,Business Analyst,IT,66000,86000,76000.0
27,Business Analyst,,66000,86000,76000.0
28,Business Analyst,Human resources,66000,86000,76000.0
29,Business Analyst,Payroll,66000,86000,76000.0
30,Business Analyst,Workday,66000,86000,76000.0
31,Business Analyst,Business analysis,66000,86000,76000.0
32,Business Analyst,IT,66000,86000,76000.0
33,Business Analyst,,66000,86000,76000.0
34,Business Analyst,Workday,66000,86000,76000.0
35,Business Analyst,Business analysis,66000,86000,76000.0
36,Business Analyst,IT,66000,86000,76000.0
37,Business Analyst,,66000,86000,76000.0
38,Business Systems Analyst,ERP systems,50000,80000,65000.0
39,Business Systems Analyst,FDA regulations,50000,80000,65000.0
40,Business Systems Analyst,Communication skills,50000,80000,65000.0
41,Business Systems Analyst,VPN,50000,80000,65000.0
42,Business Systems Analyst,Crystal Reports,50000,80000,65000.0
43,Business Systems Analyst,,50000,80000,65000.0
44,IT Business Analyst,Sage,90000,120000,105000.0
45,IT Business Analyst,Analysis skills,90000,120000,105000.0
46,IT Business Analyst,JD Edwards,90000,120000,105000.0
47,IT Business Analyst,Manufacturing,90000,120000,105000.0
48,IT Business Analyst,ERP systems,90000,120000,105000.0
49,Business Process Analyst,Project management,67000,87000,77000.0
50,Business Process Analyst,Accounting,67000,87000,77000.0
51,Business Process Analyst,Power BI,67000,87000,77000.0
52,Business Process Analyst,Microsoft Excel,67000,87000,77000.0
53,Business Process Analyst,ERP systems,67000,87000,77000.0
54,Business Process Analyst,,67000,87000,77000.0
55,ERP Analyst,Project management,89000,120000,104500.0
56,ERP Analyst,Microsoft Excel,89000,120000,104500.0
57,ERP Analyst,ERP systems,89000,120000,104500.0
58,ERP Analyst,Business analysis,89000,120000,104500.0
59,ERP Analyst,Data collection,89000,120000,104500.0
60,ERP Analyst,,89000,120000,104500.0
61,ERP Analyst,,89000,120000,104500.0
62,Business Systems Analyst,Power BI,97000,120000,108500.0
63,Business Systems Analyst,Communication skills,97000,120000,108500.0
64,Business Systems Analyst,Workday,97000,120000,108500.0
65,Business Systems Analyst,Oracle,97000,120000,108500.0
66,Sales Analyst,Power BI,64000,74000,69000.0
67,Sales Analyst,Tableau,64000,74000,69000.0
68,Sales Analyst,Pivot tables,64000,74000,69000.0
69,Sales Analyst,Communication skills,64000,74000,69000.0
70,Sales Analyst,Analytics,64000,74000,69000.0
71,Financial Analyst,Accounting,77000,100000,88500.0
72,Financial Analyst,Manufacturing,77000,100000,88500.0
73,Financial Analyst,Microsoft Excel,77000,100000,88500.0
74,Financial Analyst,Windows,77000,100000,88500.0
75,Financial Analyst,ERP systems,77000,100000,88500.0
76,Financial Analyst,,77000,100000,88500.0
77,Financial Analyst,,77000,100000,88500.0
78,Financial Analyst,,77000,100000,88500.0
79,Operations Analyst,Order fulfillment,55000,71000,63000.0
80,Operations Analyst,Microsoft Excel,55000,71000,63000.0
81,Operations Analyst,Tableau,55000,71000,63000.0
82,Operations Analyst,Pricing,55000,71000,63000.0
83,Operations Analyst,Google Suite,55000,71000,63000.0
84,Operations Analyst,,55000,71000,63000.0
85,Business Systems Analyst,Requirements gathering,125000,140000,132500.0
86,Business Systems Analyst,Cognos,125000,140000,132500.0
87,Business Systems Analyst,Payroll,125000,140000,132500.0
88,Business Systems Analyst,ERP systems,125000,140000,132500.0
