job title,salary,Min Salary,Max Salary,skills
Advertising Specialist,0,0,0,"['Communication skills', 'Customer service', 'Time management', 'Administrative experience']"
Advertising Specialist,0,0,0,[nan]
Marketing Specialist,0,0,0,[nan]
Content Specialist,0,0,0,"['JSON', 'Jira', 'HTML5']"
Client Account Marketing Specialist,0,0,0,"['Microsoft Excel', 'Digital marketing', 'AP style', 'WordPress', 'Communication skills', ""Bachelor's degree""]"
Communications Specialist,0,0,0,"['Communication skills', 'Public relations', ""Bachelor's degree"", 'Bachelor of Arts']"
Communications Specialist,0,0,0,"['SharePoint', 'Social media management']"
Content Specialist,0,0,0,"['Writing skills', 'Social media management', 'Project management', 'Marketing', 'Editing', ""Bachelor's degree""]"
Digital Marketing Specialist,0,0,0,"['Google AdWords', 'SEO', 'Keyword research', 'Digital marketing', 'Google Search Console', ""Bachelor's degree""]"
Content Specialist,0,0,0,"['Social media management', 'Hootsuite', 'Adobe Experience Manager', 'SharePoint', 'WordPress', ""Bachelor's degree""]"
Digital Marketing Specialist,0,0,0,"['Writing skills', 'Social media management', 'Direct sales', 'Google AdWords', 'Facebook Advertising']"
Digital Marketing Specialist,0,0,0,"['Marketing', 'Email marketing', 'E-commerce']"
Digital Marketing Specialist,0,0,0,"['Drupal', 'Digital marketing', 'Google Analytics', 'Software troubleshooting', 'Marketing', ""Bachelor's degree"", 'Social media management', 'Joomla', 'Google AdWords', 'SEO', 'Microsoft Powerpoint', ""Bachelor's degree"", nan, 'Analysis skills', 'Google Docs', 'Digital marketing', 'Google Search Console', 'Constant Contact', 'Google Ads', 'Bing Ads', 'Social media marketing', 'Digital marketing', 'Fireworks', 'Communication skills', 'Marketing', nan, 'Google Ads', 'Sales', 'Digital marketing', 'Social media management', 'SEO', 'Bachelor of Science', ""Bachelor's degree"", 'Marketing', 'SEO', 'Pricing', 'Marketing', 'Email marketing', 'Salesforce', 'Digital marketing', 'Social media management', nan, 'Marketing', nan]"
Media Specialist,0,0,0,"['Marketing', 'Adobe Creative Suite', 'WordPress', 'Digital marketing', 'Data analytics', 'Social media management']"
Marketing Specialist,0,0,0,[nan]
Marketing Specialist,0,0,0,['Leadership']
Digital Marketing Specialist,0,0,0,"['HTML5', 'Marketing automation', 'Adobe Creative Suite']"
Lead Generation Marketing Specialist,0,0,0,"['Marketing automation', 'Digital marketing', 'Organizational skills', 'Social media management', 'SEO', ""Bachelor's degree""]"
Marketing Specialist,0,0,0,"['Writing skills', 'Project management', 'Google Suite', 'Adobe Analytics', 'Marketing', ""Bachelor's degree""]"
Media Specialist,0,0,0,"['Social media management', 'Graphic design', 'Adobe Premiere', 'Adobe Photoshop', 'Communication skills']"
Communications Specialist,0,0,0,"['Microsoft Excel', 'Microsoft Powerpoint', 'Digital marketing', 'Adobe Photoshop', 'Communication skills', ""Bachelor's degree""]"
Content Specialist,0,0,0,"['Digital marketing', 'Adobe Photoshop', 'Communication skills', 'Content management systems', 'Writing skills', ""Bachelor's degree""]"
Marketing Specialist,0,0,0,"['Social media management', 'Project management', 'Microsoft Excel', 'Microsoft Powerpoint', 'Marketing', ""Bachelor's degree""]"
Marketing Specialist,0,0,0,"['Leadership', ""Bachelor's degree""]"
Marketing Specialist,0,0,0,"['Microsoft Excel', 'Marketing automation', 'Customer relationship management', 'Microsoft Powerpoint', 'Digital marketing', 'Bachelor of Science', ""Bachelor's degree"", ""Associate's degree"", 'Bachelor of Arts', 'Social listening', 'Microsoft Excel', 'Adobe Photoshop', 'WordPress', 'Communication skills', ""Bachelor's degree"", 'Google Ads', 'Analysis skills', 'HubSpot', 'Digital marketing', 'Google Analytics', ""Bachelor's degree"", 'Writing skills', 'Adobe Illustrator', 'Constant Contact', 'Data analytics', 'Marketing', 'Bachelor of Science', ""Bachelor's degree"", 'Bachelor of Arts', '10 key typing', 'Microsoft Excel', 'Adobe Premiere', 'Digital marketing', 'Adobe Photoshop', 'High school diploma or GED', 'Adobe Creative Suite', 'Adobe Acrobat', 'Adobe Photoshop', 'Social media management', 'Marketing', 'Project management', 'MailChimp', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Marketing', 'Fair Housing regulations', 'Property management', 'WordPress', 'Adobe Photoshop', 'Marketing', 'Aviation', 'Copywriting', 'MailChimp', 'Leadership', 'Marketing', 'Guest services', 'Rally', 'Marketing', 'Project management']"
Marketing Specialist II (Extended Temporary),0,0,0,"['Social media management', 'Certified Compensation Professional', 'Bachelor of Science', ""Bachelor's degree""]"
Communications Specialist,0,0,0,"['Public relations', 'Digital marketing', ""Bachelor's degree""]"
Communications Specialist,0,0,0,"['Writing skills', 'Digital marketing', 'AP style', 'Leadership', 'Communication skills']"
Media Specialist,0,0,0,"['Analytics', 'Digital marketing', 'Budgeting']"
Marketing Specialist,0,0,0,"['Communication skills', 'Marketing', 'Product management', ""Bachelor's degree""]"
Media Specialist,0,0,0,"['B2B', 'Facebook Advertising', 'SEO']"
Marketing Specialist,0,0,0,"['Marketing', 'Salesforce', 'Forecasting']"
Remote Website Marketing Specialist,0,0,0,"['Marketing', 'Graphic design', 'Web design']"
Digital Marketing Specialist,0,0,0,"['Google Ads', 'Analysis skills', 'Social media marketing', 'Predictive analytics', 'SEO', ""Bachelor's degree""]"
PPC Specialist,0,0,0,"['Customer service', 'Digital marketing', 'Communication skills', 'Marketing', 'Time management', ""Bachelor's degree""]"
Sales/Marketing Specialist,0,0,0,"['Project management', 'Analysis skills', 'Communication skills', 'Marketing', 'Proofreading']"
Search Engine Marketing Specialist,0,0,0,"['Google AdWords', 'Conversion optimization', 'Google Analytics', 'SEM', 'Communication skills', ""Bachelor's degree""]"
Communications Specialist,0,0,0,"['Writing skills', 'Search engines', 'Editing', 'Web accessibility', 'Public relations', ""Bachelor's degree"", ""Master's degree""]"
Marketing Specialist,0,0,0,"['Project management', 'Graphic design', 'SEO', 'Marketing', 'Analytics', ""Bachelor's degree""]"
Marketing Specialist,0,0,0,"['Google AdWords', 'Facebook Advertising', 'Google Analytics', 'Marketing', 'Microsoft Office', ""Bachelor's degree""]"
Media Specialist,0,0,0,"['Social media management', 'Marketing', 'Lead generation']"
Digital Marketing Specialist,0,0,0,"['Home health', 'Social media management', 'Microsoft Excel', 'SEO', 'Microsoft Powerpoint', ""Bachelor's degree""]"
Media Specialist,0,0,0,"['Social media management', 'Content creation', 'Social media marketing', 'SEO', 'Adobe Photoshop', ""Bachelor's degree"", 'Writing skills', 'Social media management', 'Web development', 'Hootsuite', 'Growing experience', 'Bachelor of Science', ""Bachelor's degree"", ""Associate's degree"", 'Google Ads', 'Adobe Photoshop', 'Communication skills', 'Editing', 'Motion graphics', 'Bachelor of Science', ""Bachelor's degree"", 'Microsoft Excel', 'Microsoft Powerpoint', 'Digital marketing', 'Leadership', 'Communication skills', ""Bachelor's degree"", 'Microsoft Project', 'Marketing', 'HTML5', 'Digital marketing', 'Photography', 'Continuous improvement', 'Social media management', 'Project management', 'Content creation', 'Social media management']"
Digital Marketing Specialist,0,0,0,"['Microsoft Excel', 'Google AdWords', 'Adobe Premiere', 'Facebook Advertising', 'Adobe Photoshop']"
Media Specialist,0,0,0,"['Social media management', 'Photo editing', 'Graphic design', 'Social media marketing', 'Adobe Illustrator']"
Communications Specialist,0,0,0,['MailChimp']
Communications Specialist,0,0,0,"['Marketing', 'Account management', ""Bachelor's degree""]"
Media Specialist,0,0,0,"['Pivot tables', 'Negotiation']"
Content Specialist,0,0,0,"['Adobe Premiere', 'Microsoft Outlook Calendar', 'Adobe Photoshop', 'Communication skills', 'Editing', ""Bachelor's degree""]"
Marketing Specialist,"$100,000 - $115,000 a year",100000 , 115000,"['Statistical analysis', 'SQL', 'Microsoft Excel', 'SAS', 'Microsoft Powerpoint', ""Bachelor's degree"", 'SQL', 'Research', 'Tableau']"
Marketing Specialist,"$100,000 - $120,000 a year",100000 , 120000,['Social media management']
Digital Marketing Specialist,"$100,000 - $130,000 a year",100000 , 130000,"['Social media management', 'SEO', 'Digital marketing', 'Lead generation', 'Marketing', ""Bachelor's degree""]"
Communications Specialist,"$103,650 - $172,740 a year",103650 , 172740,"['Writing skills', 'Digital marketing', 'Communication skills', 'Editing', ""Bachelor's degree""]"
Content Specialist,"$105,750 - $141,000 a year",105750 , 141000,"['Team management', 'Spark', 'SaaS', 'SEO', 'VersionOne']"
Marketing Specialist,"$11,000 a month",11000 a month,0,"['Leadership', 'Communication skills', 'Marketing', 'Analytics', 'Microsoft Office', ""Bachelor's degree""]"
Communications Specialist,"$120,000 - $140,000 a year",120000 , 140000,"['Writing skills', 'Marketing', 'Editing']"
Content Specialist,$13.27 - $22.73 an hour,13.27 , 22.73,"['Social media management', 'Account management', 'SEO', 'Editing', 'Analytics', ""Bachelor's degree"", 'High school diploma or GED', 'HTML5', 'Analytics', 'Account management']"
Media Specialist,$15 - $20 an hour,15 , 20,"['Hootsuite', 'Social media management', 'Adobe Photoshop']"
Marketing Specialist,$15 - $22 an hour,15 , 22,"['Customer service', 'Graphic design', 'Adobe Premiere', 'Adobe Photoshop', 'Retail sales']"
