job title,salary,Min Salary,Max Salary,skills
Security Analyst,0,0,0,"['Financial services', 'Information security', 'Analysis skills']"
Analyst Information Security,0,0,0,"['Information security', ""Bachelor's degree"", 'Information security']"
Analyst – Identity and Access Management,0,0,0,"['Information security', 'SOX', 'Communication skills', 'Identity & access management', 'IT', ""Bachelor's degree""]"
Android Mobile Reverse Engineer: Entry/Junior Levels,0,0,0,"['Assembly', 'Kotlin', 'Software development']"
Architect Principal - Staff (Network Engineering),0,0,0,"['Design patterns', 'Network architecture', 'Backbone.js', 'SOX', 'VPN', ""Bachelor's degree"", ""Master's degree""]"
"Associate Director, Identity and Access Management Services",0,0,0,"['Change management', 'Relational databases', 'Communication skills', 'Agile', 'APIs']"
Business Technology Risk Manager,0,0,0,"['IDS', 'ISO 27001', 'PCI', 'CISSP', 'CEH', ""Bachelor's degree""]"
Cloud Security Engineer,0,0,0,"['Cybersecurity', 'Business development', 'B2B', ""Bachelor's degree""]"
Security Engineer,0,0,0,"['Underwriting', 'Analysis skills']"
Cloud Security Engineer,0,0,0,"['Project management', 'Vulnerability management', 'Information security', 'SDLC', 'Cloud development', ""Bachelor's degree""]"
Cyber Defense Infrastructure Support - SME,0,0,0,"['CCNA Security', 'CND', 'GSEC', 'CISSP', 'CompTIA Security+', ""Bachelor's degree""]"
Cybersecurity Analyst,0,0,0,"['Bash', 'SQL', 'Disaster recovery', 'Shell Scripting', 'CCNP', ""Bachelor's degree""]"
Cyber Security Domain Architect - (Open to remote worker),0,0,0,"['Splunk', 'Vulnerability management', 'Azure', 'PKI', 'VMWare', ""Bachelor's degree"", ""Master's degree""]"
Cybersecurity Engineer,0,0,0,"['Analysis skills', 'Agile', 'Azure', 'Firewall', 'System security', ""Bachelor's degree"", ""Master's degree""]"
Cybersecurity Engineer,0,0,0,"['CCNA Security', 'PKI', 'IDS', 'Technical writing', 'Windows']"
Cyber Security Metrics Lead(virtual remote),0,0,0,"['Leadership', 'Project leadership', 'Cybersecurity', 'Supervising experience', 'AI', ""Bachelor's degree"", ""Master's degree""]"
Cyber Systems Engineer,0,0,0,"['CISSP', 'Communication skills', 'Windows', 'IAT Level III', 'Cybersecurity']"
Cybersecurity Engineer,0,0,0,"['Penetration testing', 'CSSLP', 'ISO 27001', 'CCSP', 'CISSP']"
"Cybersecurity Assessor - Colorado Springs, CO or Huntsville, AL",0,0,0,"['Writing skills', 'IASAE', 'CISSP', 'Communication skills', 'IT', 'High school diploma or GED']"
Cybersecurity Data Risk Senior Manager (REMOTE),0,0,0,"['Information security', 'Communication skills', 'Encryption', 'Risk management', ""Bachelor's degree""]"
Cybersecurity Engineer,0,0,0,"['TCP', 'TCP/IP', 'CISSP', 'CEH', 'GCIA', ""Bachelor's degree""]"
Cybersecurity Engineer,0,0,0,"['Analysis skills', 'Vulnerability management', 'Information security', 'Business analysis', 'Vulnerability assessment', ""Bachelor's degree"", 'High school diploma or GED', ""Master's degree""]"
Cybersecurity Games and Simulation Developer,0,0,0,"['React', 'Front-end development', 'REST', 'Microservices', 'Application development']"
Cybersecurity Research Engineer,0,0,0,"['Assembly', 'Vulnerability research', 'Scrum', 'C++', 'Agile', 'Bachelor of Science', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']"
Cybersecurity Research Engineer - Reverse Engineer,0,0,0,"['Assembly', 'Vulnerability research', 'Scrum', 'C++', 'Agile', 'Bachelor of Science', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']"
Cybersecurity SME,0,0,0,"['Writing skills', 'Joint operations', 'Communication skills', 'Identity & access management', 'IAM Level II', ""Bachelor's degree"", ""Master's degree""]"
Cybersecurity SR. Analyst,0,0,0,"['Analysis skills', 'IDS', 'Network security', 'Firewall', 'Cloud security', ""Bachelor's degree"", 'High school diploma or GED', ""Associate's degree""]"
Cybersecurity Engineer,0,0,0,"['IAM Level I', 'Microsoft Powerpoint', 'Communication skills', 'DoD 8570', 'IAM Level II', ""Bachelor's degree""]"
Cybersecurity and Data Privacy Attorney - Of Counsel,0,0,0,"['Legal drafting', 'Cybersecurity', 'Bar', 'Doctoral degree', 'Doctor of Law']"
Cybersecurity Engineer,0,0,0,"['Information security', 'PKI', 'Microsoft Excel', 'ISO 27001', 'SOX']"
Security Engineer,0,0,0,['Cybersecurity']
Entry-Level Reverse Engineer,0,0,0,"['Assembly', 'Research', 'GitHub']"
Entry-Level Vulnerability Researcher,0,0,0,"['Assembly', 'Scripting', 'Mac OS']"
Hardware security Engineer,0,0,0,"['C++', 'Programmable logic controllers', 'C', 'SoC', 'Debugging']"
Head of Cyber Security,0,0,0,"['Information security', 'APIs', 'Cloud architecture', ""Bachelor's degree""]"
Human Resources Business Partner - Risk Decision Group Business,0,0,0,"['Writing skills', 'SHRM Certified Professional', 'Analysis skills', 'Workday', 'Microsoft Excel', ""Bachelor's degree""]"
Security Analyst,0,0,0,"['AIX', 'Splunk', 'DNS', 'IaaS', 'Information security', ""Bachelor's degree""]"
Security Engineer,0,0,0,"['Remote access software', 'Windows', 'Microsoft Windows Server', 'VPN', 'Network administration', ""Bachelor's degree""]"
Security Engineer,0,0,0,"['PCI', 'Accounting', 'IT', 'Information security']"
Security Engineer,0,0,0,"['Certified Information Systems Auditor', 'Accounting', 'Analysis skills', 'SOX', 'Vulnerability assessment', ""Bachelor's degree""]"
Security Engineer,0,0,0,"['Cisco ISE', 'Project management', 'Cisco routers', 'Communication skills', 'Firewall', ""Bachelor's degree""]"
Cybersecurity Analyst,0,0,0,[nan]
Cybersecurity Analyst,0,0,0,"['CISSP', 'Linux', 'Information security', 'SIEM', 'Encryption', ""Bachelor's degree""]"
Security Engineer,0,0,0,"['IDS', ""Driver's License"", 'Vulnerability assessment', 'PCI', 'CISSP', 'CompTIA Security+', 'RMF', 'Certified Information Systems Auditor', 'Information security', ""Bachelor's degree""]"
Identity and Access Analyst I,0,0,0,"['PCI', 'HIPAA', 'Software troubleshooting', 'Sailpoint', 'Communication skills', 'High school diploma or GED']"
