job title,salary,Min Salary,Max Salary,skills
Software Developer,0,0,0,"['.NET Core', 'SQL', '.NET', 'JavaScript', 'ASP.NET']"
Software Developer,0,0,0,"['J2EE', 'Web services', 'SOAP', 'CSS', 'SQL']"
Software Developer,0,0,0,"['Web services', 'SQL', '.NET', 'Visual Studio', 'JavaScript', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['XML', 'Git', 'AJAX']"
Software Developer,0,0,0,"['Java', 'Kotlin', 'Android']"
Android Mobile Reverse Engineer: Entry/Junior Levels,0,0,0,"['Assembly', 'Kotlin', 'Software development']"
Application Delivery Manager,0,0,0,"['Information security', 'Management', ""Bachelor's degree"", 'High school diploma or GED']"
Software Developer,0,0,0,"['SOAP', 'Confluence', 'SQL', 'Windows', 'Shell Scripting', ""Bachelor's degree"", 'Doctoral degree']"
Audio SW Engineer,0,0,0,"['Research', 'Natural language processing', 'MATLAB']"
Automated Driving Systems Development Engineer,0,0,0,"['ADAS', 'C++', 'C', 'Python', 'Robotics', 'Master of Science', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree""]"
Azure Program Developer,0,0,0,"['Design patterns', 'Azure', 'SQL', 'DevOps', 'Agile', ""Bachelor's degree""]"
Software Developer,0,0,0,"['Microsoft Access', 'Analysis skills', 'Power BI', 'SQL', 'Tableau']"
CCB - Data Visualization Associate (Oracle Apex Developer),0,0,0,"['Analysis skills', 'SQL', 'Apache Hive', 'SAS', 'Alteryx', ""Bachelor's degree""]"
"Consultant, Software Systems Engineer",0,0,0,"[""Master's degree""]"
Database Developer,0,0,0,"['Power BI', 'Relational databases', 'Azure', 'SQL', 'Windows', ""Bachelor's degree""]"
DevOps Engineer,0,0,0,"['Bash', 'Continuous integration', 'Jenkins', 'Shell Scripting', 'DevOps']"
DevOps Engineer,0,0,0,"['IaaS', 'Azure', 'IIS', 'Windows', 'Git', ""Bachelor's degree""]"
Developer,0,0,0,"['.NET', 'Scrum', 'Banking', 'DevOps', 'Communication skills', ""Bachelor's degree""]"
Developer - Remote,0,0,0,"['SQL', 'Continuous improvement', 'Communication skills', 'Agile', 'APIs', 'High school diploma or GED']"
Developer I,0,0,0,"['SQL', 'Visual Basic', 'XML']"
DevOps Engineer,0,0,0,"['Confluence', 'CSS', 'Azure', 'SQL', 'Entity Framework', ""Bachelor's degree"", ""Master's degree""]"
"Director, IT Projects and Business Analysis",0,0,0,"['Change management', 'Project portfolio management', 'Power BI', 'PMP', 'Microservices', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Embedded software', 'C++', 'Product development', 'C', 'Software development', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Software troubleshooting', 'Java', 'Software development', 'Software development', 'Full-stack development', 'DevOps']"
Software Engineer,0,0,0,"['SQL', 'XML', 'Node.js']"
Database Developer,0,0,0,"['Relational databases', 'Microsoft SQL Server', 'MySQL']"
Software Developer,0,0,0,"['NoSQL', 'SQL', 'ASP.NET']"
Software Engineer,0,0,0,"['Software development', 'Scripting', 'Angular']"
DevOps Engineer,0,0,0,"['SAFe', 'Ansible', 'Perl', 'GitLab', 'DevOps']"
Firmware Engineer,0,0,0,"['Web development', 'CSS', 'NoSQL', 'ARM', 'C++']"
Software Engineer,0,0,0,"['ARM', 'C++', 'Firmware', 'C', 'Distributed systems']"
Full Stack Developer,0,0,0,"['Bash', 'React', 'CSS', 'Relational databases', 'Kanban', ""Bachelor's degree"", ""Master's degree"", 'React', 'CSS', 'Full-stack development', 'XHTML', 'PHP', ""Bachelor's degree"", 'ERP systems']"
Software Developer,0,0,0,"['Web services', 'CSS', 'SQL', 'JDBC', 'DB2', ""Bachelor's degree""]"
Software Developer,0,0,0,"['Requirements gathering', 'Web services', 'SQL', 'Shell Scripting', 'Struts']"
Software Developer,0,0,0,"['Java', 'REST', 'Test-driven development']"
Software Engineer,0,0,0,"['Design patterns', 'Mentoring', 'GraphQL', 'Node.js', 'APIs', 'Bachelor of Science', ""Bachelor's degree""]"
Web Developer,0,0,0,"['React', 'Web services', '.NET Core', 'Azure', 'SQL', ""Associate's degree""]"
Graduate Scientific Programmer - School of Biomedical Informatics,0,0,0,"['Research', '.NET', 'Java']"
Software Developer,0,0,0,"['Power BI', 'CSS', 'SQL', 'IIS', 'Visual Studio', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Java', 'Python', 'IT']"
Software Developer,0,0,0,"['CSS', 'Full-stack development', 'SQL', 'XML', 'JavaScript']"
IoT Engineer,0,0,0,"['C++', 'Python', 'Scripting', 'Internet of things', 'Linux', ""Master's degree""]"
Software Developer,0,0,0,"['Hibernate', 'Spring', 'Design patterns', 'SQL', 'APIs']"
Software Developer,0,0,0,"['J2EE', 'Spring', 'Spring Boot', 'Spark', 'Back-end development']"
Software Developer,0,0,0,"['Spring', 'Spring Boot', 'Microservices', 'Java']"
Software Developer,0,0,0,"['System design', 'CI/CD', 'Application development', 'Software troubleshooting', 'Agile']"
Software Developer,0,0,0,"['J2EE', 'REST', 'SVN', 'Spark', 'Microservices']"
Software Developer,0,0,0,"['J2EE', 'React', 'Confluence', 'SQL', 'Shell Scripting', ""Bachelor's degree"", ""Master's degree""]"
Web Developer,0,0,0,"['SOAP', 'CSS', 'Relational databases', 'Azure', 'SQL', ""Bachelor's degree""]"
Software Developer,0,0,0,"['SQL', '.NET', 'Java']"
Cloud Engineer,0,0,0,"['Azure', 'Cloud architecture', 'Go', 'PowerShell', 'Continuous improvement', ""Bachelor's degree""]"
Junior Developer,0,0,0,"['AWS', 'HTML5', 'NetSuite']"
Software Developer,0,0,0,"['Git', 'Software development', 'Back-end development', 'ASP.NET', 'Node.js', 'Software development']"
Software Developer,0,0,0,"['Web development', 'CSS', 'SQL', 'Communication skills', 'Visual Basic', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree""]"
Web Developer,0,0,0,"['React', 'Project management', 'Analysis skills', 'REST', 'Vue.js']"
DevOps Engineer,0,0,0,"['Shell Scripting', 'Node.js', 'Go', 'UNIX', 'DevOps', 'Bachelor of Science', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy', 'Software deployment', 'Node.js', 'CI/CD', 'Go', 'C++', ""Bachelor's degree""]"
Mobile Developer - Entry and Junior Levels,0,0,0,"['Kotlin', 'Software development', 'C++']"
Software Developer,0,0,0,"['Vue.js', 'LAMP stack', 'JavaScript', 'Node.js', 'PHP']"
