web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676422529-531,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Bi Lingual Retail Sales Consultant - AT&T,https://www.indeed.com/rc/clk?jk=b2c74989ee5a4adb&fccid=14e769fe601ec585&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Bi Lingual Retail Sales Consultant - AT&T,Customer service,null
1676422529-532,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Bi Lingual Retail Sales Consultant - AT&T,https://www.indeed.com/rc/clk?jk=b2c74989ee5a4adb&fccid=14e769fe601ec585&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Bi Lingual Retail Sales Consultant - AT&T,Retail sales,null
1676422529-533,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Bi Lingual Retail Sales Consultant - AT&T,https://www.indeed.com/rc/clk?jk=b2c74989ee5a4adb&fccid=14e769fe601ec585&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Bi Lingual Retail Sales Consultant - AT&T,Social media management,null
1676422536-534,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Assistant Professor of Business,https://www.indeed.com/rc/clk?jk=d177363bea450ae2&fccid=ee5bd6c997d803c9&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Assistant Professor of Business,Teaching,null
1676422536-535,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Assistant Professor of Business,https://www.indeed.com/rc/clk?jk=d177363bea450ae2&fccid=ee5bd6c997d803c9&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Assistant Professor of Business,Business analysis,null
1676422544-536,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Business Analyst (Case Management) - Office of Child Support (Lansing / Hybrid),https://www.indeed.com/rc/clk?jk=29d48cef95cdbac3&fccid=8f1ca24c54c27400&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Business Analyst (Case Management) - Office of Child Support (Lansing / Hybrid),iOS,null
1676422544-537,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,Business Analyst (Case Management) - Office of Child Support (Lansing / Hybrid),https://www.indeed.com/rc/clk?jk=29d48cef95cdbac3&fccid=8f1ca24c54c27400&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Business Analyst (Case Management) - Office of Child Support (Lansing / Hybrid),Linux,null
1676422551-538,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,MIS Business Analyst & Software Lead - Planner Principal State,https://www.indeed.com/rc/clk?jk=8aff23e0b2ccafc1&fccid=0e58e9682e5d206a&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,MIS Business Analyst & Software Lead - Planner Principal State,Public health,"$60,468 - $89,094 a year"
1676422551-539,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,MIS Business Analyst & Software Lead - Planner Principal State,https://www.indeed.com/rc/clk?jk=8aff23e0b2ccafc1&fccid=0e58e9682e5d206a&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,MIS Business Analyst & Software Lead - Planner Principal State,Analysis skills,"$60,468 - $89,094 a year"
1676422558-540,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,TDA - IT - IT Business Analyst (58587),https://www.indeed.com/rc/clk?jk=ba80170b1c72a201&fccid=e84543660fa54e90&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,TDA - IT - IT Business Analyst (58587),Git,"$5,650 a month"
1676422558-541,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,TDA - IT - IT Business Analyst (58587),https://www.indeed.com/rc/clk?jk=ba80170b1c72a201&fccid=e84543660fa54e90&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,TDA - IT - IT Business Analyst (58587),Software development,"$5,650 a month"
1676422558-542,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=6ae1df7061803818,TDA - IT - IT Business Analyst (58587),https://www.indeed.com/rc/clk?jk=ba80170b1c72a201&fccid=e84543660fa54e90&vjs=3,5,https://www.indeed.com/jobs?q=business+analyst&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,TDA - IT - IT Business Analyst (58587),Azure,"$5,650 a month"
