job title,skills,salary
IT Audit Staff Consultant,PCI,null
IT Audit Staff Consultant,Accounting,null
IT Audit Staff Consultant,IT,null
IT Audit Staff Consultant,Information security,null
Entry-Level Cybersecurity Consultant: 2023,SIEM,"$60,000 - $178,000 a year"
Entry-Level Cybersecurity Consultant: 2023,UNIX,"$60,000 - $178,000 a year"
Entry-Level Cybersecurity Consultant: 2023,Mac OS,"$60,000 - $178,000 a year"
"Manager, Security Operational Risk (Data Security Events & Issues Management)",Vulnerability management,"$113,200 - $193,600 a year"
"Manager, Security Operational Risk (Data Security Events & Issues Management)",AWS,"$113,200 - $193,600 a year"
"Manager, Security Operational Risk (Data Security Events & Issues Management)",NIST standards,"$113,200 - $193,600 a year"
IT Specialist (Application Software) (Infosec),NoSQL,"$155,700 - $183,500 a year"
IT Specialist (Application Software) (Infosec),GitHub,"$155,700 - $183,500 a year"
IT Specialist (Application Software) (Infosec),Software development,"$155,700 - $183,500 a year"
Entry-Level Vulnerability Researcher,Assembly,null
Entry-Level Vulnerability Researcher,Scripting,null
Entry-Level Vulnerability Researcher,Mac OS,null
Software Security Analyst (Entry Level),Node.js,"$50,000 - $150,000 a year"
Software Security Analyst (Entry Level),Presentation skills,"$50,000 - $150,000 a year"
Software Security Analyst (Entry Level),Software development,"$50,000 - $150,000 a year"
Operational Risk Analyst III,Research,"$74,400 - $127,200 a year"
Operational Risk Analyst III,Negotiation,"$74,400 - $127,200 a year"
Operational Risk Analyst III,Analysis skills,"$74,400 - $127,200 a year"
Chubb Associate - IT Risk Analyst (Hybrid),Underwriting,null
Chubb Associate - IT Risk Analyst (Hybrid),Analysis skills,null
Junior Information System Security Officer with TS/SCI,Research,"Up to $77,899 a year"
Junior Information System Security Officer with TS/SCI,Analysis skills,"Up to $77,899 a year"
Watch Desk Specialist 1,SharePoint,null
Watch Desk Specialist 1,Remedy,null
Watch Desk Specialist 1,Help desk,null
Watch Desk Specialist 1,Active Directory,null
Analyst Information Security,Information security,null
Cyber Operations Specialist,,"$45,000 - $54,000 a year"
Internal Audit Staff (Entry-level),SQL,"$57,400 - $82,500 a year"
Internal Audit Staff (Entry-level),SDLC,"$57,400 - $82,500 a year"
Internal Audit Staff (Entry-level),Fraud,"$57,400 - $82,500 a year"
Cyber Network Defender,Computer networking,"$45,000 - $54,000 a year"
Junior SOC Analyst (Night Shift),Firewall,8 hour shift
Junior SOC Analyst (Night Shift),Network protocols,8 hour shift
Junior SOC Analyst (Night Shift),IDS,8 hour shift
CyberSecurity Entry Level Position,IT support,"$55,000 - $65,000 a year"
CyberSecurity Entry Level Position,Firewall,"$55,000 - $65,000 a year"
CyberSecurity Entry Level Position,Computer networking,"$55,000 - $65,000 a year"
Security Analyst - Entry/Junior Level,Software troubleshooting,"$50,000 - $70,000 a year"
Security Analyst - Entry/Junior Level,Log analysis,"$50,000 - $70,000 a year"
Security Analyst - Entry/Junior Level,IDS,"$50,000 - $70,000 a year"
Information Security Analyst Trainee,Vulnerability management,"$45,000 - $55,000 a year"
Information Security Analyst Trainee,NIST standards,"$45,000 - $55,000 a year"
Information Security Analyst Trainee,ISO 27001,"$45,000 - $55,000 a year"
2023 Associate - Risk Analyst 1 – Information Security Analyst,Financial services,null
2023 Associate - Risk Analyst 1 – Information Security Analyst,Information security,null
2023 Associate - Risk Analyst 1 – Information Security Analyst,Analysis skills,null
Cybersecurity Teaching Assistant - TCC (Remote),,$20 an hour
IT Security Officer â Entry Level,Linux,"$45,000 - $85,000 a year"
IT Security Officer â Entry Level,Network administration,"$45,000 - $85,000 a year"
IT Security Officer â Entry Level,Analysis skills,"$45,000 - $85,000 a year"
IT Security Officer â Entry Level,Windows,"$45,000 - $85,000 a year"
IT Associate - Client Support,,$16.19 - $18.73 an hour
Android Mobile Reverse Engineer: Entry/Junior Levels,Assembly,null
Android Mobile Reverse Engineer: Entry/Junior Levels,Kotlin,null
Android Mobile Reverse Engineer: Entry/Junior Levels,Software development,null
Entry-Level Reverse Engineer,Assembly,null
Entry-Level Reverse Engineer,Research,null
Entry-Level Reverse Engineer,GitHub,null
"Entry Level IT Specialist, Cyber Security 2022/2023",Cybersecurity,null
Satellite Network Operation Monitoring and Control Operator,Computer networking,$7.25 - $24.81 an hour
Satellite Network Operation Monitoring and Control Operator,LAN,$7.25 - $24.81 an hour
Identity Management Analyst,SharePoint,Monday to Friday
Identity Management Analyst,Remedy,Monday to Friday
Identity Management Analyst,Data collection,Monday to Friday
Cyber Operations Specialist,,"Up to $25,000 a year"
