web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676423216-652,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Pinkbox-Doughnuts/jobs/Social-Media-Specialist-1dd7d452aa29cabb?fccid=a58743ce60879397&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Microsoft Project,null
1676423216-653,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Pinkbox-Doughnuts/jobs/Social-Media-Specialist-1dd7d452aa29cabb?fccid=a58743ce60879397&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Marketing,null
1676423216-654,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/company/Pinkbox-Doughnuts/jobs/Social-Media-Specialist-1dd7d452aa29cabb?fccid=a58743ce60879397&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,HTML5,null
1676423218-655,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=97dd0cd38b0d3127&fccid=4b7dc08e94bdaafe&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Adobe Creative Suite,null
1676423218-656,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=97dd0cd38b0d3127&fccid=4b7dc08e94bdaafe&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Adobe Acrobat,null
1676423218-657,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=97dd0cd38b0d3127&fccid=4b7dc08e94bdaafe&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Adobe Photoshop,null
1676423218-658,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=97dd0cd38b0d3127&fccid=4b7dc08e94bdaafe&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Social media management,null
1676423221-659,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Public Information Specialist 1 (Digital Content),https://www.indeed.com/rc/clk?jk=b7365c2112d1d168&fccid=01875d57161e9f6f&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Public Information Specialist 1 (Digital Content),Public relations,"$61,270 - $77,912 a year"
1676423221-660,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Public Information Specialist 1 (Digital Content),https://www.indeed.com/rc/clk?jk=b7365c2112d1d168&fccid=01875d57161e9f6f&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Public Information Specialist 1 (Digital Content),Adobe Lightroom,"$61,270 - $77,912 a year"
1676423221-661,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Public Information Specialist 1 (Digital Content),https://www.indeed.com/rc/clk?jk=b7365c2112d1d168&fccid=01875d57161e9f6f&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Public Information Specialist 1 (Digital Content),Adobe Premiere,"$61,270 - $77,912 a year"
