job title,company name,location,salary,skills
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",PMP
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",Legislation
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",Assembly
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",Adobe Illustrator
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",Digital design
Digital Media and Graphic Design Specialist,"Pennsylvania House of Representatives, Democratic Caucus -","Harrisburg, PA","Estimated: $47,000 - $65,000 a year",Bachelor's degree
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Writing skills
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Project management
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Research
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Content creation
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Content development
Senior Communications Specialist - Workforce Communications,Dana-Farber Cancer Institute - 4.1,"Boston, MA","Estimated: $72,000 - $94,000 a year",Bachelor's degree
Digital Marketing Specialist,Adapting Social - 4.3,"Point Pleasant Beach, NJ","$55,000 - $80,000 a year",Social media management
Digital Marketing Specialist,Adapting Social - 4.3,"Point Pleasant Beach, NJ","$55,000 - $80,000 a year",Google Ads
Digital Marketing Specialist,Adapting Social - 4.3,"Point Pleasant Beach, NJ","$55,000 - $80,000 a year",AdRoll
Digital Marketing Specialist,Adapting Social - 4.3,"Point Pleasant Beach, NJ","$55,000 - $80,000 a year",Content creation
Digital Marketing Specialist,Adapting Social - 4.3,"Point Pleasant Beach, NJ","$55,000 - $80,000 a year",Constant Contact
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",CSS
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",AP style
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",Adobe Photoshop
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",Direct marketing
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",Editing
Membership Marketing Specialist,Association for Institutional Research - 3.5,Remote,"$40,000 - $46,000 a year",Bachelor's degree
"Manager, Brand Marketing",Sky Mavis -,Remote,"Estimated: $68,000 - $87,000 a year",Project management
"Manager, Brand Marketing",Sky Mavis -,Remote,"Estimated: $68,000 - $87,000 a year",Communication skills
"Manager, Brand Marketing",Sky Mavis -,Remote,"Estimated: $68,000 - $87,000 a year",Management
"Manager, Brand Marketing",Sky Mavis -,Remote,"Estimated: $68,000 - $87,000 a year",Time management
"Manager, Brand Marketing",Sky Mavis -,Remote,"Estimated: $68,000 - $87,000 a year",Organizational skills
Sr. Social Media Specialist,City of Hope - 3.7,"Irvine, CA",$37.00 - $57.35 an hour,Social listening
Sr. Social Media Specialist,City of Hope - 3.7,"Irvine, CA",$37.00 - $57.35 an hour,Social media management
Sr. Social Media Specialist,City of Hope - 3.7,"Irvine, CA",$37.00 - $57.35 an hour,Marketing
Sr. Social Media Specialist,City of Hope - 3.7,"Irvine, CA",$37.00 - $57.35 an hour,Customer relationship management
Sr. Social Media Specialist,City of Hope - 3.7,"Irvine, CA",$37.00 - $57.35 an hour,Bachelor's degree
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Social media management
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Project management
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Communication skills
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Marketing
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Graphic design
Marketing Project Specialist,Paycom Payroll Llc - 3.8,"Oklahoma City, OK","Estimated: $41,000 - $56,000 a year",Bachelor's degree
Marketing Specialist,St. John's Catholic Newman Center -,"Champaign, IL","$38,000 a year",Social media management
Marketing Specialist,St. John's Catholic Newman Center -,"Champaign, IL","$38,000 a year",Adobe Premiere
Marketing Specialist,St. John's Catholic Newman Center -,"Champaign, IL","$38,000 a year",Adobe Illustrator
Marketing Specialist,St. John's Catholic Newman Center -,"Champaign, IL","$38,000 a year",Adobe Photoshop
Marketing Specialist,St. John's Catholic Newman Center -,"Champaign, IL","$38,000 a year",Communication skills
