job title,company name,location,salary,skills
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",Accounting
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",Power BI
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",Microsoft Excel
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",ERP systems
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",Microsoft Powerpoint
Senior Financial Analyst,San Mateo County Transit District - 3.9,"San Carlos, CA","Estimated: $97,000 - $140,000 a year",Bachelor's degree
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,Writing skills
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,Analysis skills
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,Payroll
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,Microsoft Excel
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,SAP
Successfactors Business Analyst-60020278,State of South Carolina - 2.8,"Columbia, SC",null,Bachelor's degree
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",Software troubleshooting
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",Project management
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",IT
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",Project management methodology
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",Bachelor's degree
Sr. Business Systems Analyst,City of Wilmington - 3.9,"Wilmington, NC","Estimated: $65,000 - $87,000 a year",High school diploma or GED
Business Analyst II,The City of Coral Gables - 4.0,"Coral Gables, FL","Estimated: $62,000 - $88,000 a year",Driver's License
Business Analyst II,The City of Coral Gables - 4.0,"Coral Gables, FL","Estimated: $62,000 - $88,000 a year",Bachelor's degree
Business Analyst II,The City of Coral Gables - 4.0,"Coral Gables, FL","Estimated: $62,000 - $88,000 a year",Associate's degree
Client Onboarding Technical Implementation Specialist VP,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Project management
Client Onboarding Technical Implementation Specialist VP,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Employee orientation
Client Onboarding Technical Implementation Specialist VP,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,ERP systems
Client Onboarding Technical Implementation Specialist VP,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Business analysis
Client Onboarding Technical Implementation Specialist VP,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Banking
Technical Implementation Project Manager - Payments - Associate,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Project management
Technical Implementation Project Manager - Payments - Associate,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,APIs
Technical Implementation Project Manager - Payments - Associate,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,ERP systems
Technical Implementation Project Manager - Payments - Associate,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Business analysis
Technical Implementation Project Manager - Payments - Associate,"JPMorgan Chase Bank, N.A. - 3.8","Chicago, IL",null,Microsoft Office
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,SQL
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,ERP systems
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,Oracle EBS
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,Communication skills
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,PL/SQL
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,Bachelor of Science
Senior Business Analyst - Supply Chain Planning,UniFirst - 3.1,"Wilmington, MA",null,Bachelor's degree
