job title,company name,location,salary,skills
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Auto estimating
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Construction estimating
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Full-stack development
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Azure
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",IAT
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Bachelor's degree
Junior Azure Solutions Architect/DevOps Engineer,Idea Entity - 3.8,"Peoria, IL","Estimated: $74,000 - $100,000 a year",Master's degree
#8454 - Devops Engineer (Fully Remote),Qualitest - 3.5,Remote,"$70,000 - $100,000 a year",Bash
#8454 - Devops Engineer (Fully Remote),Qualitest - 3.5,Remote,"$70,000 - $100,000 a year",Azure
#8454 - Devops Engineer (Fully Remote),Qualitest - 3.5,Remote,"$70,000 - $100,000 a year",Shell Scripting
#8454 - Devops Engineer (Fully Remote),Qualitest - 3.5,Remote,"$70,000 - $100,000 a year",RESTful API
#8454 - Devops Engineer (Fully Remote),Qualitest - 3.5,Remote,"$70,000 - $100,000 a year",DevOps
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Azure
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",DevOps
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Chef
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Kubernetes
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Linux
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Bachelor of Science
Senior DevOps Engineer,Sigma Defense [SOLUTE] -,Remote,"$120,000 - $160,000 a year",Bachelor's degree
Senior Manager - Guidewire Senior configuration developer,Genpact - 3.8,"New York, NY",null,SharePoint
Principal Back End Engineer - remote,HappyFunCorp -,"San Diego, CA","$170,000 - $200,000 a year",Elasticsearch
Principal Back End Engineer - remote,HappyFunCorp -,"San Diego, CA","$170,000 - $200,000 a year",Analysis skills
Principal Back End Engineer - remote,HappyFunCorp -,"San Diego, CA","$170,000 - $200,000 a year",DynamoDB
Principal Back End Engineer - remote,HappyFunCorp -,"San Diego, CA","$170,000 - $200,000 a year",Redis
Principal Back End Engineer - remote,HappyFunCorp -,"San Diego, CA","$170,000 - $200,000 a year",Kanban
Lead Back End Engineer - remote,HappyFunCorp -,"Atlanta, GA","$170,000 - $200,000 a year",Elasticsearch
Lead Back End Engineer - remote,HappyFunCorp -,"Atlanta, GA","$170,000 - $200,000 a year",Analysis skills
Lead Back End Engineer - remote,HappyFunCorp -,"Atlanta, GA","$170,000 - $200,000 a year",DynamoDB
Lead Back End Engineer - remote,HappyFunCorp -,"Atlanta, GA","$170,000 - $200,000 a year",Redis
Lead Back End Engineer - remote,HappyFunCorp -,"Atlanta, GA","$170,000 - $200,000 a year",Kanban
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",CSS
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",Relational databases
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",Azure
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",SQL
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",Swift
Sr Software Engineer -Mobile Development,Public Service Enterprise Group (PSEG) - 3.8,"Newark, NJ","Estimated: $88,000 - $120,000 a year",Bachelor's degree
Jr Full Stack/DevOps Engineer,Inadev - 3.0,"McLean, VA","Estimated: $81,000 - $110,000 a year",React
Jr Full Stack/DevOps Engineer,Inadev - 3.0,"McLean, VA","Estimated: $81,000 - $110,000 a year",Analysis skills
