job title,salary,Min Salary,Max Salary,skills
Accountant,0,0,0,[nan]
Operations Analyst,0,0,0,"['Logistics', 'Microsoft Excel', 'ERP systems', 'SAP Warehouse Management', ""Bachelor's degree""]"
Assembly Coordinator,0,0,0,[nan]
Business Analyst,0,0,0,"['Microsoft Access', 'Analysis skills', 'SAP', 'Computer skills', 'ERP systems', ""Bachelor's degree"", 'Sage', 'SQL', 'System design', 'DevOps', 'Communication skills', ""Bachelor's degree"", 'Microsoft Dynamics GP', 'Azure', 'Microsoft Excel', 'Microsoft Powerpoint', 'Product development', 'Project management', 'Analysis skills', 'Agile', 'Six Sigma', 'Business analysis']"
Business Analyst,0,0,0,"['SAP', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['Sage', 'Power BI', 'Azure', 'SQL', 'Microsoft Excel', ""Bachelor's degree"", ""Master's degree""]"
Business Analyst,0,0,0,"['Requirements gathering', 'CSS', 'Azure', 'SQL', 'ERP systems', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['Project management', 'Analysis skills', 'Microsoft Excel', 'SharePoint', 'Communication skills', ""Bachelor's degree""]"
Accountant,0,0,0,"['ERP systems', ""Bachelor's degree""]"
Data Analyst,0,0,0,"['Accounting', 'Power BI', 'Manufacturing', 'SQL', 'Microsoft Excel', ""Bachelor's degree"", 'Writing skills', 'Analysis skills', 'SQL', 'Technical writing', 'Statistical software']"
Business Analyst,0,0,0,"['Power BI', 'Data modeling', 'SQL', 'Microsoft Excel', 'Database design', ""Bachelor's degree""]"
Business Reporting Analyst,0,0,0,"['SQL', 'VBA', 'ERP systems', 'Military', 'OOP', ""Bachelor's degree""]"
Business Support Analyst,0,0,0,"['Project management', 'Power BI', 'Microsoft Excel', 'ERP systems', 'Microsoft Powerpoint', ""Bachelor's degree""]"
Business Systems Analyst,0,0,0,"['Confluence', 'SQL', 'Microsoft Excel', 'ERP systems', 'Scrum', 'Accounting', 'Analysis skills', 'Communication skills', 'Financial management', 'Oracle', 'Analysis skills', 'ERP systems', 'Product management', 'System design', 'Logistics', ""Bachelor's degree"", ""Master's degree"", 'Master of Business Administration']"
Buyer,0,0,0,[nan]
Client Onboarding Technical Implementation Specialist VP,0,0,0,"['Project management', 'Employee orientation', 'ERP systems', 'Business analysis', 'Banking']"
ERP Analyst,0,0,0,"['Analysis skills', 'Customer service', 'ERP systems', 'Business analysis', 'Systems analysis', ""Bachelor's degree"", 'High school diploma or GED']"
Financial Analyst,0,0,0,"['Accounting', 'Microsoft Excel', 'ERP systems', 'SAP ERP', 'Hyperion', ""Bachelor's degree""]"
Data Analyst,0,0,0,"['Six Sigma Certification', 'Sage', 'PMP', 'Six Sigma', 'Data analysis skills', 'Bachelor of Science', ""Bachelor's degree""]"
IT Business Analyst,0,0,0,"['Change management', 'Project portfolio management', 'Power BI', 'PMP', 'Microservices', ""Bachelor's degree""]"
