job title,skills,salary
Social Media Specialist,Microsoft Project,null
Social Media Specialist,Marketing,null
Social Media Specialist,HTML5,null
Marketing Specialist,Adobe Creative Suite,null
Marketing Specialist,Adobe Acrobat,null
Marketing Specialist,Adobe Photoshop,null
Marketing Specialist,Social media management,null
Public Information Specialist 1 (Digital Content),Public relations,"$61,270 - $77,912 a year"
Public Information Specialist 1 (Digital Content),Adobe Lightroom,"$61,270 - $77,912 a year"
Public Information Specialist 1 (Digital Content),Adobe Premiere,"$61,270 - $77,912 a year"
Social Media Specialist,Digital marketing,null
Social Media Specialist,Photography,null
Social Media Specialist,Continuous improvement,null
Social Media Specialist,Social media management,null
Marketing Specialist,Marketing,null
Marketing Specialist,Project management,null
Marketing Specialist,MailChimp,null
Marketing Specialist,Marketing,$19 - $20 an hour
Marketing Specialist,B2B,$19 - $20 an hour
Marketing Specialist,Copywriting,$19 - $20 an hour
Social Media Specialist,Content creation,$16 - $20 an hour
Social Media Specialist,Social media management,$16 - $20 an hour
Social Media Specialist,Apache Hive,$16 - $20 an hour
Marketing Specialist,Marketing,"$37,000 - $42,000 a year"
Marketing Specialist,Digital marketing,"$37,000 - $42,000 a year"
Marketing Specialist,Adobe Creative Suite,"$37,000 - $42,000 a year"
Marketing Specialist,Google AdWords,"$37,000 - $42,000 a year"
Product Marketing Specialist,Marketing,null
Product Marketing Specialist,Salesforce,null
Product Marketing Specialist,Forecasting,null
Paid Media Specialist – Social Media & SEM,Facebook Advertising,"$55,000 - $65,000 a year"
Paid Media Specialist – Social Media & SEM,Social media management,"$55,000 - $65,000 a year"
Paid Media Specialist – Social Media & SEM,Google Ads,"$55,000 - $65,000 a year"
Digital Marketing Specialist,Marketing,null
Digital Marketing Specialist,SEO,null
Digital Marketing Specialist,Pricing,null
Digital Media Specialist,Marketing,null
Digital Media Specialist,Adobe Creative Suite,null
Digital Media Specialist,WordPress,null
Digital Marketing Specialist,Marketing,"$60,000 a year"
Digital Marketing Specialist,Copywriting,"$60,000 a year"
Digital Marketing Specialist,SEO,"$60,000 a year"
Social Media Specialist,Marketing,From $18 an hour
Social Media Specialist,Email marketing,From $18 an hour
Social Media Specialist,MailChimp,From $18 an hour
Social Media Specialist,Social media marketing,From $18 an hour
Associate Ad Operations Specialist,,null
Digital Marketing Specialist,Marketing,From $14 an hour
Digital Marketing Specialist,Search engines,From $14 an hour
Digital Marketing Specialist,Photography,From $14 an hour
Marketing and Media Specialist,Marketing,"$40,000 - $45,000 a year"
Marketing and Media Specialist,Adobe InDesign,"$40,000 - $45,000 a year"
Marketing and Media Specialist,Adobe Creative Suite,"$40,000 - $45,000 a year"
"Specialist, Media Strategy",Pivot tables,null
"Specialist, Media Strategy",Negotiation,null
Social Media Specialist,Email marketing,From $18 an hour
Social Media Specialist,HTML5,From $18 an hour
Social Media Specialist,MailChimp,From $18 an hour
Remote SEO Specialist,HTML5,$16 - $18 an hour
Remote SEO Specialist,WordPress,$16 - $18 an hour
Remote SEO Specialist,Project management software,$16 - $18 an hour
Media Specialist,Analytics,null
Media Specialist,Digital marketing,null
Media Specialist,Budgeting,null
Digital Marketing Specialist,Marketing,null
Digital Marketing Specialist,Email marketing,null
Digital Marketing Specialist,Salesforce,null
Digital Content Specialist,PPC Campaign Management,"$40,000 - $50,000 a year"
Digital Content Specialist,SEO tools,"$40,000 - $50,000 a year"
Digital Content Specialist,Digital marketing,"$40,000 - $50,000 a year"
Marketing Specialist,Adobe InDesign,null
Marketing Specialist,Adobe Photoshop,null
Marketing Specialist,Adobe Illustrator,null
Junior Digital Strategist,Marketing,"$40,000 - $45,000 a year"
Junior Digital Strategist,Web analytics,"$40,000 - $45,000 a year"
Junior Digital Strategist,SEO tools,"$40,000 - $45,000 a year"
Social Media Specialist,Project management,null
Social Media Specialist,Content creation,null
Social Media Specialist,Social media management,null
Marketing Specialist,Marketing,"$75,000 - $85,000 a year"
Marketing Specialist,Salesforce,"$75,000 - $85,000 a year"
Paid Media Specialist,B2B,null
Paid Media Specialist,Facebook Advertising,null
Paid Media Specialist,SEO,null
SEO Analyst,HTML5,null
SEO Analyst,Digital marketing,null
SEO Analyst,SEO,null
Digital Marketing Specialist,Digital marketing,null
Digital Marketing Specialist,Social media management,null
Social Media and Digital Marketing Specialist,Marketing,"From $45,000 a year"
Social Media and Digital Marketing Specialist,Adobe After Effects,"From $45,000 a year"
Social Media and Digital Marketing Specialist,Facebook Advertising,"From $45,000 a year"
Communication Specialist,SharePoint,null
Communication Specialist,Social media management,null
Marketing Analyst,SQL,"$100,000 - $115,000 a year"
Marketing Analyst,Research,"$100,000 - $115,000 a year"
Marketing Analyst,Tableau,"$100,000 - $115,000 a year"
Digital Media Specialist,Digital marketing,null
Digital Media Specialist,Data analytics,null
Digital Media Specialist,Social media management,null
SEM Specialist,Marketing,null
SEM Specialist,Facebook Advertising,null
SEM Specialist,Google Search Console,null
Social Media Specialist,Hootsuite,$15 - $20 an hour
Social Media Specialist,Social media management,$15 - $20 an hour
Social Media Specialist,Adobe Photoshop,$15 - $20 an hour
Inbound and Digital Marketing Specialist,HTML5,null
Inbound and Digital Marketing Specialist,Marketing automation,null
Inbound and Digital Marketing Specialist,Adobe Creative Suite,null
Marketing & Digital Media Specialist,Marketing,"$40,000 - $47,000 a year"
Marketing & Digital Media Specialist,SEO,"$40,000 - $47,000 a year"
Marketing & Digital Media Specialist,Social media management,"$40,000 - $47,000 a year"
Digital Media Specialist,,"$50,000 - $60,000 a year"
Marketing Specialist,Marketing,null
Marketing Specialist,Fair Housing regulations,null
Marketing Specialist,Property management,null
Spanish Listener Engagement and Communications Specialist - TWR International,MailChimp,null
OPS PUBLIC INFORMATION SPECIALIST,Public relations,"$50,000 a year"
OPS PUBLIC INFORMATION SPECIALIST,Hootsuite,"$50,000 a year"
OPS PUBLIC INFORMATION SPECIALIST,Social media management,"$50,000 a year"
Brand Ambassador,Sales,From $20 an hour
CONTENT & PROMOTIONS SPECIALIST,JSON,null
CONTENT & PROMOTIONS SPECIALIST,Jira,null
CONTENT & PROMOTIONS SPECIALIST,HTML5,null
Digital Marketing Specialist,,null
Digital Marketing Specialist,Marketing,null
Marketing Specialist,WordPress,null
Marketing Specialist,Adobe Photoshop,null
Digital Content Specialist,HTML5,$13.27 - $22.73 an hour
Digital Content Specialist,Analytics,$13.27 - $22.73 an hour
Digital Content Specialist,Account management,$13.27 - $22.73 an hour
Digital Marketing Specialist I - Woodbury - January 2023,,$31.68 an hour
Digital Marketing Specialist,,null
Event Specialist,Sales,$19 - $22 an hour
Event Specialist,Digital marketing,$19 - $22 an hour
Event Specialist,Social media management,$19 - $22 an hour
Marketing Specialist,Marketing,null
Marketing Specialist,Aviation,null
Marketing Specialist,Copywriting,null
Marketing Specialist,MailChimp,null
Marketing Specialist,Marketing,$16 - $19 an hour
Marketing Specialist,Litigation,$16 - $19 an hour
Marketing Specialist,Content creation,$16 - $19 an hour
Marketing Specialist,Graphic design,$16 - $19 an hour
Entry Level Event Specialist,Leadership,null
"Digital Marketing Specialist, Programmatic",Martech,"$70,000 - $94,800 a year"
Marketing Specialist,Leadership,null
Marketing Specialist,Marketing,null
Marketing Specialist,Guest services,null
Marketing Specialist,Rally,null
Public Affairs Specialist,Information management,"$46,696 - $60,703 a year"
UTS - Educational Engagement Media Specialist located in RTP,,$22 an hour
Marketing Specialist,,"$75,000 a year"
Advertising Specialist,,null
PPC Specialist,PPC Campaign Management,$18 - $20 an hour
PPC Specialist,Sales,$18 - $20 an hour
PPC Specialist,Digital marketing,$18 - $20 an hour
Marketing Specialist,,$30 - $35 an hour
Digital Marketing Associate | Email Marketing Specialist | eCommerce,Marketing,null
Digital Marketing Associate | Email Marketing Specialist | eCommerce,Email marketing,null
Digital Marketing Associate | Email Marketing Specialist | eCommerce,E-commerce,null
Social Media & Digital Advertising Specialist,Social media management,null
Social Media & Digital Advertising Specialist,Marketing,null
Social Media & Digital Advertising Specialist,Lead generation,null
Marketing Specialist,Marketing,null
Marketing Specialist,Project management,null
