job title,company name,location,salary,skills
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",J2EE
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",NoSQL
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Spring Boot
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",DevOps
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Leadership
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Bachelor's degree
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Master of Business Administration
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Doctoral degree
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Master's degree
Senior Cybersecurity Engineer,Visa - 3.9,"Austin, TX","Estimated: $110,000 - $160,000 a year",Doctor of Philosophy
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Assembly
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Network protocols
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Vulnerability research
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",OS Kernels
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Windows
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Bachelor's degree
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Doctoral degree
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Master's degree
Senior Vulnerability Researcher,Battelle - 3.8,"Columbus, OH","Estimated: $100,000 - $140,000 a year",Doctor of Philosophy
"Sr Spec, Cyber Intelligence",CAE Inc. - 3.7,"Arlington, TX","Estimated: $110,000 - $140,000 a year",Windows
"Sr Spec, Cyber Intelligence",CAE Inc. - 3.7,"Arlington, TX","Estimated: $110,000 - $140,000 a year",CISSP
"Sr Spec, Cyber Intelligence",CAE Inc. - 3.7,"Arlington, TX","Estimated: $110,000 - $140,000 a year",Leadership
