job_field,Top Job Title,Job Count,Top Skill,Skill Count
Data Analyst,Product Manager,31,SQL,146.0
Data Analyst,Product Manager,31,Excel,94.0
Data Analyst,Product Manager,31,Python,50.0
Data Analyst,Product Manager,31,Tableau,43.0
Data Analyst,Product Manager,31,Machine Learning,31.0
Data Analyst,Product Manager,31,Google Sheets,27.0
Data Analyst,Product Manager,31,Power BI,25.0
Data Analyst,Product Manager,31,R,24.0
Data Analyst,Product Manager,31,AI,16.0
Data Analyst,Product Manager,31,Pandas,16.0
Data Analyst,Associate Product Manager,27,SQL,146.0
Data Analyst,Associate Product Manager,27,Excel,94.0
Data Analyst,Associate Product Manager,27,Python,50.0
Data Analyst,Associate Product Manager,27,Tableau,43.0
Data Analyst,Associate Product Manager,27,Machine Learning,31.0
Data Analyst,Associate Product Manager,27,Google Sheets,27.0
Data Analyst,Associate Product Manager,27,Power BI,25.0
Data Analyst,Associate Product Manager,27,R,24.0
Data Analyst,Associate Product Manager,27,AI,16.0
Data Analyst,Associate Product Manager,27,Pandas,16.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,SQL,146.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Excel,94.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Python,50.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Tableau,43.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Machine Learning,31.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Google Sheets,27.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Power BI,25.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,R,24.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,AI,16.0
Data Analyst,TikTok Shop - Data Analyst Intern - 2025 Start,11,Pandas,16.0
Data Analyst,Research & Data Analyst,10,SQL,146.0
Data Analyst,Research & Data Analyst,10,Excel,94.0
Data Analyst,Research & Data Analyst,10,Python,50.0
Data Analyst,Research & Data Analyst,10,Tableau,43.0
Data Analyst,Research & Data Analyst,10,Machine Learning,31.0
Data Analyst,Research & Data Analyst,10,Google Sheets,27.0
Data Analyst,Research & Data Analyst,10,Power BI,25.0
Data Analyst,Research & Data Analyst,10,R,24.0
Data Analyst,Research & Data Analyst,10,AI,16.0
Data Analyst,Research & Data Analyst,10,Pandas,16.0
Data Analyst,DATA ANALYST,8,SQL,146.0
Data Analyst,DATA ANALYST,8,Excel,94.0
Data Analyst,DATA ANALYST,8,Python,50.0
Data Analyst,DATA ANALYST,8,Tableau,43.0
Data Analyst,DATA ANALYST,8,Machine Learning,31.0
Data Analyst,DATA ANALYST,8,Google Sheets,27.0
Data Analyst,DATA ANALYST,8,Power BI,25.0
Data Analyst,DATA ANALYST,8,R,24.0
Data Analyst,DATA ANALYST,8,AI,16.0
Data Analyst,DATA ANALYST,8,Pandas,16.0
Data Analyst,Downstream Product Manager,8,SQL,146.0
Data Analyst,Downstream Product Manager,8,Excel,94.0
Data Analyst,Downstream Product Manager,8,Python,50.0
Data Analyst,Downstream Product Manager,8,Tableau,43.0
Data Analyst,Downstream Product Manager,8,Machine Learning,31.0
Data Analyst,Downstream Product Manager,8,Google Sheets,27.0
Data Analyst,Downstream Product Manager,8,Power BI,25.0
Data Analyst,Downstream Product Manager,8,R,24.0
Data Analyst,Downstream Product Manager,8,AI,16.0
Data Analyst,Downstream Product Manager,8,Pandas,16.0
Data Analyst,Financial Analyst,8,SQL,146.0
Data Analyst,Financial Analyst,8,Excel,94.0
Data Analyst,Financial Analyst,8,Python,50.0
Data Analyst,Financial Analyst,8,Tableau,43.0
Data Analyst,Financial Analyst,8,Machine Learning,31.0
Data Analyst,Financial Analyst,8,Google Sheets,27.0
Data Analyst,Financial Analyst,8,Power BI,25.0
Data Analyst,Financial Analyst,8,R,24.0
Data Analyst,Financial Analyst,8,AI,16.0
Data Analyst,Financial Analyst,8,Pandas,16.0
Data Analyst,Data Analyst,7,SQL,146.0
Data Analyst,Data Analyst,7,Excel,94.0
Data Analyst,Data Analyst,7,Python,50.0
Data Analyst,Data Analyst,7,Tableau,43.0
Data Analyst,Data Analyst,7,Machine Learning,31.0
Data Analyst,Data Analyst,7,Google Sheets,27.0
Data Analyst,Data Analyst,7,Power BI,25.0
Data Analyst,Data Analyst,7,R,24.0
Data Analyst,Data Analyst,7,AI,16.0
Data Analyst,Data Analyst,7,Pandas,16.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,SQL,146.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Excel,94.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Python,50.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Tableau,43.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Machine Learning,31.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Google Sheets,27.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Power BI,25.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,R,24.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,AI,16.0
Data Analyst,"Analyst, Marketing & Business Intelligence - Nissan United",6,Pandas,16.0
Data Analyst,Data Analyst (International Markets),6,SQL,146.0
Data Analyst,Data Analyst (International Markets),6,Excel,94.0
Data Analyst,Data Analyst (International Markets),6,Python,50.0
Data Analyst,Data Analyst (International Markets),6,Tableau,43.0
Data Analyst,Data Analyst (International Markets),6,Machine Learning,31.0
Data Analyst,Data Analyst (International Markets),6,Google Sheets,27.0
Data Analyst,Data Analyst (International Markets),6,Power BI,25.0
Data Analyst,Data Analyst (International Markets),6,R,24.0
Data Analyst,Data Analyst (International Markets),6,AI,16.0
Data Analyst,Data Analyst (International Markets),6,Pandas,16.0
Data Scientist,AI&T Junior Technician,5,AI,15.0
Data Scientist,AI&T Junior Technician,5,Python,4.0
Data Scientist,AI&T Junior Technician,5,Java,3.0
Data Scientist,AI&T Junior Technician,5,Machine Learning,3.0
Data Scientist,AI&T Junior Technician,5,PyTorch,2.0
Data Scientist,AI&T Junior Technician,5,R,2.0
Data Scientist,AI&T Junior Technician,5,SQL,2.0
Data Scientist,AI&T Junior Technician,5,TensorFlow,2.0
Data Scientist,AI&T Junior Technician,5,Azure,1.0
Data Scientist,AI&T Junior Technician,5,Feature Engineering,1.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,AI,15.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,Python,4.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,Java,3.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,Machine Learning,3.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,PyTorch,2.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,R,2.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,SQL,2.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,TensorFlow,2.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,Azure,1.0
Data Scientist,"Research and Insights Manager, Marketing, Policy, Responsibility, AI",2,Feature Engineering,1.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,AI,15.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,Python,4.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,Java,3.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,Machine Learning,3.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,PyTorch,2.0
Data Scientist,AI Model Training and Deployment Intern (Remote),1,R,2.0
