Job Title,Job Description,Location,Salary Estimate,Company Name,Headquarters,Size,Type of ownership,Industry,Sector,Revenue
Data Analyst,"Requisition NumberRR-0001939
Remote:Yes
We collaborate. We create. We innovate.

Intrigued?

You’re a business professional with an innate curiosity that thrives in a dynamic and Agile environment. You appreciate teamwork, exemplify integrity, perseverance, flexibility, and a generosity of spirit… if this sounds like you, then please apply – we’d love to meet you!

Celerity is expanding and on the hunt for the savvy, creative, and analytically sound individuals that are motivated by solving complex problems. We’re in the business of transforming how people, process, and systems co-exist, while improving operational efficiencies and user-driven interactions. We work with groundbreaking companies, melding expertise in Digital Strategy, Technology, Creative, and Business Transformation.
The health and safety of our employees is our top priority. Due to the pandemic, all our employees are working remotely and we will be conducting candidate interviews by video. This position will continue to be remote once the COVID-19 crisis has abated.

What You’ll Do

• Perform data visualization and comparisons across multiple data sources / systems of record to provide value-added insights to support critical business operations teams
• Build scripts to perform low-level analysis and data investigation working in conjunction with other Celerity or client team members to improve data accuracy and make more informed decisions
• Support movement of large amounts of data and existing processes into new ecosystems including looking for opportunities for greater automation of existing processes via SQL
• Produce customized reports and visualizations as well as other ad-hoc analysis in support of time-sensitive business requests
• Demonstrate flexibility to expand beyond a pure data analysis role including upstream requirements gathering or downstream process recommendations/implementations centered around a strong understanding of client data

About You

• Bachelor’s Degree in Business, Management, or a quantitative field 3+ years SQL development of complex queries
• 2+ years professional experience
• Expertise designing and implementing ETL processes You have Teradata SQL Experience (preferred)
• Experience with Data Visualization such as Tableau or PowerBI
• You understand and have experience with multidimensional analysis and queries
• Strong communication skills
• You have an analytical mindset to be able to ask probing questions to eradicate ambiguity and are willing to point out flaws in logic and identify better ways to do things
• You have “Good Data Intuition”
• You are not an order taker, but an analyst that can sniff out trends, identify patterns, and answer open ended questions
• Willingness to expand scope of work beyond data to include business analyst, process analyst, or project manager type activities as necessary
We Are Celerity

Millions of people every day use websites, applications, and business processes designed and built by Celerity. As a consultancy of technologists, creatives, and business experts, we provide the action plans, teams, and solutions our clients need to transform the way they do business and deepen engagement with their customers.

Celerity empowers autonomy and accountability. We understand life happens and want our team to do what is needed to get the work done, enjoy it along the way, and have plenty of time and energy for family and friends, vacations, hobbies, learning of languages, you name it! At Celerity, our focus is on bringing synergies to business process, technology, and creative chops to deliver inspirational solutions. We love giving kudos and celebrating achievements. We provide an inclusive and flexible environment that fosters collaboration, quick pivots, and quality work.

Originally founded in 2002, Celerity was acquired in 2015 by AUSY, a France-based IT consultancy and engineering services firm. With 8 regional offices and 400+ employees, Celerity’s clients span a variety of industries including media and entertainment, healthcare, financial services, manufacturing, non-profit, and hospitality.

You can also get to know us better on Instagram, Facebook, Dribbble, LinkedIn, and Twitter.

Build Your Career

At Celerity, our professional growth plan focuses on individualizing everyone’s track through incorporating personal interests with training and mentorship, while further expanding existing strong suits. We recognize in this ever-evolving digital world, there is extreme value in learning new skills and technologies. Celerity provides opportunities to shape skill sets, work with an amazing team of industry-leading consultants and exciting clients, in addition to professional trainings and certifications that best align with your career goals.
We are proud to be an Equal Opportunity Employer. All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
Celerity is committed to providing veteran employment opportunities to our service men and women.","New York, NY",$37K-$66K (Glassdoor est.),"Celerity
4.1","McLean, VA",201 to 500 employees,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,"About Cubist
Cubist Systematic Strategies is one of the world’s premier investment firms. The firm deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.
Job Description
We are passionate about data. We collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance.
Cubist’s Data Services group is looking for a Data Analyst to join our dedicated team. Our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic Portfolio Managers in the world.
This exceptional individual will be a member of a small team of Data Scientists/Analysts who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastructure, and the live production trading of billions of dollars of capital across global capital markets, including equities, futures, options and other financial instruments.
Job Responsibilities
Identifying potential data sources
Coordinating with compliance team and legal team on new vendor trial/subscription process
Assisting with collecting and maintaining vendor overviews and content offerings
Assisting with data questions and requests from investment teams
Setting up feed downloads and monitor check-in database
Monitoring the automated data collection and cleansing infrastructure
Assisting with scheduling meetings and conference calls between data users and experts
Assisting Data team with interoffice travel arrangements, expenses, etc.
Assisting in organizing presentations
Managing data trial repository permissions
Downloading trial datasets from vendor FTP sites or other delivery mechanism
Assisting Data Team with manual data processing as required
Maintaining Cubist Data Wiki contents
Desirable Candidates
Bachelor degree required
Basic understanding of SQL.
Programming skills in Python and at least one of C#, C++, or Java are a plus
Proficient knowledge of Microsoft Outlook, Excel, and Word
Financial industry experience is preferred but not required
Strong organization, communication and interpersonal skills
Attention to detail and a love of process
Strong oral and written communication skills
Ability to exercise sound judgment in assessing and determining how to handle queries, calls and issues
Ability to multitask and prioritize assignments","New York, NY",$37K-$66K (Glassdoor est.),"Point72
3.9","Stamford, CT",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst,"The Data Analyst is an integral member of the global commercial data and analytics team driving commercial insights and opportunities for the world's largest English language newspaper website, DailyMail.com. This is a unique opportunity to work in a fast-paced entrepreneurial environment, with wide exposure to ad-tech and big data platforms.

The Data Analyst will be responsible for maintaining and optimizing the global commercial data systems, identifying methods to maximize commercial performance and providing business insights to internal stakeholders. This individual will have a genuine passion for digital media and data technology.

DailyMail.com is a division of UK-based DMGT, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the London Stock Exchange (LSE:DMGT.L).

Specific Responsibilities
Participate in cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.
Develop and maintain big data infrastructure, reporting systems and data models that support key business decisions.
Develop and maintain data visualization dashboards to allow data access to necessary stakeholders.
Evaluate the configuration and performance of commercial practices against key indicators.
Continuously monitor yield across platforms and offer innovative recommendations to internal teams to boost performance and generate new revenue.
Work cross-functionally with teams including Operations, Sales, Marketing, Finance and Analytics to provide excellent customer service in support of DailyMail.com clients and revenue goals.
Desired Experience and Skills

Required:
B.A. or B.S. in a quantitative or technical field (e.g., math, engineering, statistics, computer science).
High proficiency in Excel, SQL, Python
Possess quantitative skills with a creative problem-solving mindset.
Ability to work collaboratively in a team environment.
Strong project management skills and ability to meet deadlines
Preferred:
Digital media and ad-tech experience is a plus
Familiarity with R, Scala, Spark, Airflow
Google Cloud (Storage, BigQuery, Compute Engine, Kubernetes Engine)
About MailOnline


MailOnline is one of the world's leading newspaper websites with more than 12 million daily unique visitors spending an average of 145 million minutes consuming its content each day across the globe, of which 77% is from direct traffic. MailOnline offers a unique amalgam of fresh, sensational, breaking and reliable news with over 1,600 stories, 800 videos and more than 12,800 photos posted daily. With newsrooms in New York, Los Angeles, London, and Sydney, Dailymail.com uses its massive homepage to deliver the exclusive content people need and want to know.

DailyMailTV brings the best of DailyMail.com, the world's most read English-language newspaper website, to life on television, with an edgy, fast-paced daily show featuring the hottest headlines, trending topics and celebrity breaking news from around the world.

Daily Mail North America is a division of UK-based DMGT, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the London Stock Exchange (LSE:DMGT.L).","New York, NY",$37K-$66K (Glassdoor est.),"DMGT
4.0","London, United Kingdom",5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
Data Analyst,"NYU Grossman School of Medicine is one of the nation’s top-ranked medical schools. For 175 years, NYU Grossman School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health, the Grossman School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. For more information, go to med.nyu.edu, and interact with us on Facebook, Twitter and Instagram.

Position Summary:

We have an exciting opportunity to join our team as a Data Analyst.

The Data Analyst will work directly with Dr. Horwitz, the Director of the Division of Healthcare Delivery Science and the Center for Healthcare Innovations and Delivery Science, as well as the Rapid RCT Lab. We are seeking a qualified Data Analyst to provide support for data management and analyses across the Rapid RCT portfolio of projects. The Data Analyst will be responsible for planning, designing, and implementing statistical analyses. A successful applicant will be able to work autonomously and comfortably in an academic medical center environment.

Job Responsibilities:
Maintain existing data collection and analysis systems in support of the research protocol
Under direct supervision by the Division Director and with the guidance of the team’s lead biostatistician, conduct basic statistical analyses and present them to the team
Support the development of publications and conference presentations, including drafting academic and nonacademic publications, writing conference abstracts, conducting lit reviews and creating tables and other data visualizations for presentations
Work with staff and others to facilitate automation of standard, recurrent data acquisition, management, analysis and reporting
Design and conduct analyses pertaining to data acquired thorough various data sources
Create descriptive data summaries including visualizations and written descriptions of data findings for a wide range of audiences
Provide technical assistance to analysts and researchers in accessing and analyzing datasets, as needed
Minimum Qualifications:
To qualify you must have a Masters degree in health care economics, health care policy, applied statistics, data science, biostatistics or a Bachelors degree with relevant work experience
Strong quantitative skills and advanced programming skills in Stata, SAS, and/or R
At least 2 years of work experience and/or research experience in a relevant setting
Ability to select and apply appropriate statistical methods for collecting and summarizing varied data
Excellent organization, time management, and communication skills and the ability to work both independently and as part of a collaborative research team
Preferred Qualifications:
Knowledge of principles and methods of biostatistics; principles, theories, and procedures of epidemiology, including study design, statistical analysis, and causal inference
Appropriate computer processing methods used to generate, organize and display statistical and research data; and standard English grammar, spelling, and usage
Strong attention to detail
Problem-solving and critical thinking skills
Planning/organizational skills
Personal motivation
Qualified candidates must be able to effectively communicate with all levels of the organization.

NYU Grossman School of Medicine provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you’ll feel good about devoting your time and your talents.

NYU Grossman School of Medicine is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.

If you wish to view NYU Grossman School of Medicine’s EEO policies, please click here. Please click here to view the Federal “EEO is the law” poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information. To view the Pay Transparency Notice, please click here.","New York, NY",$37K-$66K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Analyst,"BulbHead is currently seeking a Data Analyst to join our team!

About:

Have you ever laid in bed late at night, couldnt sleep, turned on the TV, and gotten sucked in by an infomercial? Well, we promise, you are far from alone. Founded over 30 years ago, Telebrands is the original creator of the As Seen on TV logo and category of trade, and remains an industry-leading titan today. Our company sells consumer products, typically household goods, both direct-to-consumer and through mass retail chains, and these items can be found in over 50,000 locations nationwide. You may be familiar with some of our products and you may even have some at home, including Ped Egg, Star Shower, Pocket Hose, Red Copper Cookware, Atomic Beam Lights, and many more. Hit after hit, year after year, there is always a project to be excited about at our company.

Job Summary:

The Data and Insights Analyst will have a deep sense of curiosity, and will have the talent to turn passion for data into tools and insights to help efficiently drive growth. The analyst will work closely and collaborate with cross-functional teams, using sophisticated analytics to conduct experiments, produce analytical tools, make strategic recommendations and decisions, support customer-facing materials, and facilitate internal projects. This individual will lead and spearhead data-driven decision-making and will jump at the opportunity to use a variety of data sources to answer difficult questions. This person will take responsibility for the Data Architecture of multiple data sets, and should be familiar with building predictive models. The ideal candidate is a self-starter who is solutions-oriented, thrives under pressure, enjoys fast-paced work and is motivated by success. This is a great opportunity to leverage strong analytical skills and creative problem-solving to support and optimize product development, marketing, forecasting, and operations.

Benefits:
People. Work in a family-run company with skilled, committed, and supportive teammates who share your desire to optimize results, and have a commitment to diversity, equity, and inclusion
Excellent medical, dental and vision benefits
A commitment to a collaborative work environment, including a vacation policy that requires team members take vacation
401k
Competitive and flexible compensation package
Responsibilities:
Participating in and leading all phases of analytic work: from problem definition to representation of results
Collaborating with the executive team to understand the analytical needs of our multichannel operations, and developing data-driven insights that are both strategic and operational
Formulating and championing insights on specific business tactics (such as inventory forecasting, analysis of marketing campaign impact, etc.), and driving those insights into action
Creating and implementing visualization tools
Leading design, QA, and analysis of A/B tests, and contributing to strategic decisions based on results
Qualifications:
1 + years SQL experience (Preferred)
1 + years Python experience (Preferred)
Bachelor's (Required)
Major in STEM (Preferred)
2 + years of data analytics experience, including 2-4 years of hands-on experience analyzing large and unstructured data sets centered in marketing operations, attribution, and predictive modeling
Excellent analytical reasoning, quantitative, and problem-solving skills, with the ability to come to rigorous and defensible solutions to complex and open-ended problems: Proven advanced Excel skills, experience designing new or creative analyses
Strong communication and presentation skills written, visual, and verbal
The ability to address multiple priorities in an extremely fast-paced environment
Collaboration and service mentality: Experience working day-to-day with cross-functional teams (marketing, sales, product development, operations)
Storytelling: Experience interpreting data, drawing key conclusions, and turning data sets into easily digestible, potentially customer-facing materials (slides, graphics)
Degree in an analytical field such as economics, stats/mathematics, or computer science, engineering
Ability to write and execute complex SQL queries using multiple joins and window functions, along with other scripting languages (Python, R)
Experience with visualization tools like Tableau, Chartio or Looker
Familiarity with Google BigQuery or other big data environments
Experience applying statistics to business problems
Passion for applying advanced technology and analytics to solve business problems
Ideal candidates will be familiar with pulling data from third party sources including Facebook, Google, Instagram, and other networks combined with internal databases
We are an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status. We are committed to championing the inclusion of underrepresented employees. Inclusion is a team effort, and every team member is expected to participate in building a welcoming and

Indeed Hire and BulbHead are working together to find the best candidate for this job.

__
*

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Experience:
data analytics: 2 years (Required)
SQL: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Required)
Job distance:
Fairfield, NJ: Between 31 and 40 miles (Preferred)","Fairfield, NJ",$37K-$66K (Glassdoor est.),BulbHead,-1,1 to 50 employees,Company - Private,-1,-1,Unknown / Non-Applicable
DATA ANALYST,"Job Summary:

The Clinical Research Data Analyst for the Pediatric BMT Program will support BMT clinical and research efforts. The Data Analyst will be responsible for the quality and integrity of data submission via Transplant Essential Data (TED) forms on all transplants and cellular therapy infusions performed by the Bone Marrow Transplant team, or post-TED forms on all transplants in accordance with CIBMTR time points at 100-day, 6-month, and annually. Responsible for answering data queries and maintaining Continuous Process Improvement (CPI) on a quarterly basis. Develop and maintain working relationships with the BMT Team in order to become familiar with the required clinical data points of the pre-TED, post-TED, and comprehensive reporting forms (CRF) from charts and electronic record for reporting and analysis. Analyze and manipulate data into forms usable for reporting to federal agencies on transplant outcomes, performance improvement initiatives, program assessment, and administrative reporting. Ensure accurate data reporting. Ensure that federal, institutional, regulatory guidelines and polices are followed and adhered to. Coordinate activities associated with the initiation and completion of clinical trials, sponsored by internal, industry, and Federal funding sources. Coordination of data management and data retrieval and analysis for Federal studies, pharmaceutical studies and investigator-initiated studies. Maintains compliance with all regulatory bodies associated with human subject research.

Additional Responsibilities:
Prepare comprehensive RFI reports to maintain our Center of Excellence status with various medical insurance companies
Performs quarterly internal audits to assess quality and accuracy of data as well
Responsible for preparation of CIBMTR audit which is conducted every four years by the CIBMTR
Effectively responds to business/clinical needs, customers, and requests
Consults, assists, and collaborates with business users, developers, and the IT group(s) at large to progress evolving departmental priorities.
Job Requirements:
Bachelor's Degree and 2-4 Years prior clinical research experience required, 5-10 years preferred; Knowledge of NCI and FDA regulations regarding clinical trials; proficiency with computers (i.e., MS Office, database, Internet); well organized and detail oriented
SOCRA or CCRC (PREFERRED) COLLABORATIVE IRB CERTIFICATION (PREFERRED, TO BE OBTAINED WITHIN FIRST MONTH OF EMPLOYMENT)
Department: Pediatrics Bargaining Unit: Non Union Campus: CHAM Employment Status: Regular Full-Time Address: 3411 Wayne Avenue, Bronx
Shift: Day Scheduled Hours: 8:30 AM-5 PM Req ID: 120541

Montefiore is an equal employment opportunity employer. Montefiore will recruit, hire, train, transfer, promote, layoff and discharge associates in all job classifications without regard to their race, color, religion, creed, national origin, alienage or citizenship status, age, gender, actual or presumed disability, history of disability, sexual orientation, gender identity, gender expression, genetic predisposition or carrier status, pregnancy, military status, marital status, or partnership status, or any other characteristic protected by law.

#GDKW; #LI-KW1; N/A","New York, NY",$37K-$66K (Glassdoor est.),"Montefiore Medical
3.7","Bronx, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Data Analyst,"Undertone stands alone among AdTech and ad network businesses in its ability to address marketing objectives through Synchronized Digital Branding and extraordinarily creative treatments. We drive best in class results for clients through Undertones expansive rich media and video capabilities that are expressed across multiple channels and platforms, matching the consumer journey.

Undertones Data Management Service (UDMS) is a big data, cloud-based data-warehouse, dashboard and reporting environment. Do you want to help enable a data-driven organization? This is your opportunity to join a mission critical team, at an innovative company in an industry just beginning to harness the power of data.

As member of the Undertones UDMS Team, the Data Analyst drives value by providing provocative, differentiating analytics and insights. This position will support a wide variety of business intelligence efforts across Undertone while working in a highly collaborative manner within multiple large, cloud-based data sources to identify insights and spearhead our next generation product offerings. Most importantly, you should love the data, working with data, finding the nuance that leads to key differentiation for the business and our customers. This is a high visibility analytics and consulting position requiring daily interaction with business users, data scientists, engineers and key stakeholders.

Job Responsibilities:
Work with business teams to understand their analytical needs, including identifying critical metrics and KPIs
Use analytical and problem-solving skills to deliver actionable insights to relevant decision makers
Develop rich interactive visualizations integrating various reporting components from multiple data sources
Use SQL, Tableau and other technologies to pull data from different backend systems and product meaningful information and visualizations
Take complicated problems and build simple frameworks
Work directly with users and management to gather requirements, provide status updates, and build good relationships and rapport
Profile and Experience:
A minimum of 1 year of a full-time data analytics experience, ideally in an Ad-tech company
A minimum of a Bachelors degree in Engineering, Mathematics, Business, or related field
Expert SQL coding skills against large data sets
Strong analytical skills, including the ability to mine data in order to draw meaningful conclusions
Strong oral and written communications skills
Knowledge of Business Intelligence tools such as Tableau
Powered by JazzHR","New York, NY",$37K-$66K (Glassdoor est.),"Undertone
3.8","New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,"About Us

At Teachers Pay Teachers (TpT), we're unlocking the power of educator-created content. More than 85% of U.S. teachers come to TpT every year to get teacher-tested, engaging, and rigorous materials. What began as a humble exchange for teachers looking to share lesson plans has since exploded into a massive online marketplace where teachers have created 4 million resources for all aspects of PreK-12 education. More than six million educators worldwide (including teachers, administrators, and parents) have downloaded TpT resources more than a billion times. According to Fast Company, in 2019, Teachers Pay Teachers is one of the top 50 Most Innovative Companies in the world! If you haven't heard of TpT yet and want to learn more, just ask a teacher.

Who we are looking for

We're a team of good people doing great things. We listen first. We love our work. And we are all teachers and learners in whatever we do. We believe that productivity is never an accident. It's the result of a commitment to excellence, intelligent planning, passionate teamwork, and focused effort. We want every day to be fun and to matter.

Role Description

As a Data Analyst, you will support the adoption of business intelligence tools across teams, foster a culture of insightful analysis and crisp reporting, and become a trusted business partner within the organization.

You know and love working with data and analytics tools and can use your technical skills, business acumen, and creativity to solve unique business problems. Reporting to the Analytics Manager, you'll work closely with business, marketing, data science, engineering, and product teams to develop a deep understanding of TpT's business and drive strategy and action through high quality, timely analysis.

Responsibilities
Analyze: surface actionable insights and opportunities from complex data; leverage quantitative and qualitative data to understand ecosystems, user behaviors, and long-term trends
Collaborate: partner with marketing, product, customer experience, and engineering to translate business issues into testable hypotheses with defined KPIs; ensure metrics used to track the business and measure results are consistent and the most relevant to inform decision-making across the organization
Communicate: report on the state of the business and make data accessible through objective data-driven stories that influence and enable stakeholders; establish shared vision across the company for data-driven practices
Enable: build dynamic and rich dashboards and reporting solutions to support company initiatives and strategic planning; educate other teams at TpT on analysis best practices and how to self-serve data needs; leverage Jira to prioritize projects and requests
Requirements
2+ years of analytics experience at a software technology company
Experience designing, leading and executing analysis
Ability to visualize data in additive ways
Comfortable with large, complex relational databases (both transactional and clickstream)
Excellent communication skills
Experience in creating, optimizing, and automating reports and dashboards
Highly organized & able to prioritize effectively
Experience working cross-functionally
Experience with SQL
Extra Credit
Experience with an online marketplace
Experience with attribution modeling
Experience with aspects of our BI tech stack: BigQuery, Looker, Heap, Optimizely
Experience with Python and/or R
Statistical skills (e.g., confidence intervals and forecasting)
Experience with ML
Extracurriculars
Parental leave for both mothers and fathers to be able to take some quality time in bonding with their new addition to their family
Comprehensive Medical & Dental Benefits
Mother's Room
Quiet Room
Company Events (Bring Your Child to Work Day, Field Day, Camp TpT, Hackathons, etc.,)
Here at TpT we value Diversity & Inclusion and encourage people to bring their most authentic selves to work. We cultivate an environment where people are recognized and celebrated for their individuality.

Any TpT applicant who requires reasonable accommodations during the interview process should contact the TpT People Ops Team (accommodations@teacherspayteachers.com) to make the need for an accommodation known.

Finally, if you're a California resident, California law requires that we provide you notice about the collection and use of your personal information. We encourage you to read it carefully. You can find our full notice here.","New York, NY",$37K-$66K (Glassdoor est.),"Teachers Pay Teachers
4.9","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,"Haven Life is an insurtech innovator at MassMutual that offers a new way to get life insurance online that's actually simple.

We combine the culture of a startup with the stability and backing of a Fortune 500 company to create an environment that's truly unique.

Our diverse team is comprised of smart, collaborative people who think big, execute quickly and don't take themselves too seriously. We're located in New York's Flatiron District and in case you're wondering, yes, we provide free snacks. Cold brew too.

If you're creative, professional and kind, we'd love to hear from you.

ABOUT THIS ROLE:

We are looking for an individual with an enduring curiosity about data and with an interest in evolving best practices and tools. In collaboration with other team members, you will help shape the vision, planning, and execution of Haven technology and product innovation. You will:
Partner closely with product managers, engineers, designers, marketing, insurance experts, and other team members to improve customer experience and enhance our business.
Interpret data, analyze results using statistical techniques and provide ongoing analysis to various business areas within the Haven Life team.
Identify, analyze, and interpret trends or patterns in complex data sets
Inform, influence, and support product in making data driven decisions.
Identify data needs and gaps, and work with developers to devise solutions in data gathering, ingestion, and modeling.
Acquire data from primary or secondary data sources
Work closely with management to prioritize business and information needs
Ad hoc support for key business needs or requests.
REQUIREMENTS
BS/BA Required
Minimum 1+ years of experience in a Data Analyst role
Comfortable using BI tools to analyze and manipulate data, such as SQL, Tableau, and Qlik
Strong skills in data extraction, cleaning, analysis and visualization (e.g. SQL, Python, R)
Excellent written and verbal communication skills; Ability to present and communicate findings in a clear manner to a variety of audiences.
Strong work ethic, intellectual curiosity and attention to detail.
PREFERRED REQUIREMENTS
3-5 years of experience in a Data Analytics role
Strong background working with coding languages Python/R
Qualified applicants must be authorized to work in the US without sponsorship
Must be able to work full time from our Manhattan office
BENEFITS

We pay competitive base salaries and we reward performance. Our salary structure is commensurate with experience. In addition, you'll be eligible to participate in our comprehensive benefits program including medical insurance and 401(K).

Andiamo is an Equal Opportunity Employer

Andiamo provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Andiamo complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

All qualified candidates are encouraged to apply by submitting their resume as an MS word document including a cover letter with a summary of relevant qualifications, highlighting clearly any special or relevant experience.","New York, NY",$37K-$66K (Glassdoor est.),"Andiamo
3.5","Warren, MI",201 to 500 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
Data Analyst,"Data Analyst (Decision Science)

Hearst is an American mass media and business information conglomerate. It owns a wide variety of newspapers, magazines, television channels, and television stations, including the San Francisco Chronicle, the Houston Chronicle, Cosmopolitan, Esquire, 50% of cable network A+E, and 20% of the sports broadcaster ESPN.

Are you looking for a great opportunity to grow in your profession as a decision scientist?

Do you want to be part of a lean team that is helping lead the evolution of local news?

At Hearst you will have the chance to make a data driven impact by forming strong partnerships with marketing, editorial, product, ad operation and executive leadership teams.

You will be working with traffic, subscriptions, advertising, and email data and have the opportunity to work in Python, R, Big Query SQL, Looker, PowerBI and more!

Role
Clean, prepare and explain datasets, use advanced analytics to identify key trends, size up opportunities, and then work closely with business leaders to turn those opportunities into action.
Work with the latest analytic tools to perform advanced analysis and discover insights.
Create iterative and highly reproducible analytic scripting to show ongoing improvement in data visuals and analytical techniques.
Partner closely with data scientist to extract learnings from latest prediction models.
Streamline automation to help us scale and ensure ongoing data integrity.
Qualifications
Demonstrated comfort working autonomously in Python/R, particularly working with dataframes.
2+ years' experience in a data analytics role.
Degree/Advanced degree in a technical/mathematical program preferred.
Strong interpersonal and communication skills, experience building presentations.
Passion for problem solving and data exploration.
Experience in statistical methods a huge plus.
SQL knowledge
Must be hungry to take on a highly technical role and make a clear business impact.
NA","New York, NY",$37K-$66K (Glassdoor est.),"Hearst Communications
4.0","San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD)
