job_title,job_description,city,state,category,company_name,crawl_timestamp,post_date,job_type,job_board
Junior Software Developer,"About Harmer Consultants, Inc: Harmer Consultants is a Chicago-based provider of diversified professional information technology (IT) recruiting services. Backed by devoted, experienced Partners and an exceptional reputation, Harmer prides itself on connecting people who are empowered by growing meaningful professional relationships for contract, contract-to-hire, and project-based assignments. Our highly skilled, professional recruiters have developed extensive networks within the business community making them among the most successful recruiters in the industry.Â  We are a dynamic, growth-oriented organization with a history of successful, long-lasting relationships.Â Â  Clients recognize Harmer for its exceptional recruiting team, quality candidates, and seamless process. Harmer has 30+ years of proven history providing clients with project-based experts for critical, time-sensitive and technically specific engagements. We are currently looking to assist one of our clients in identifying a dynamic candidate who has a strong background in the below skills.Â  For more information visit www.harmer.com. Â  Job Title: Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Full-Stack Systems Developer Location: Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Chicago Duration: Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  3-6-month Contract/Hire Â  Full-Stack Systems Developer GeneralÂ Description: An exciting startup company needs an experienced, self-motivated full-stack systems developer to continue development on sophisticated enterprise distributed systems.Â  The position is Contract only and will be for 3-6 months with the possibility of extensions and/or full-time employment.Â  The selected resource will be working here in Chicago, IL at the client site 2-3 days a week with remote work as well.Â  Â  Essential Duties: Work closely with an Architect to design and implement distributed services that comprise the back-end system Work closely with a front-end developer to define and implement API calls to the back-end systems Assist with implementation of front-end features using either Angular or ASP.NET MVC Take part in project planning by analyzing requirements, architecture and design documents, breaking down into tasks and estimating times Update technical documentation with new or updated development Rigorously test all development Education & Experience: A Bachelorâ€™s degree in Computer Science or a related field is required Experience with .NET, C#, WebAPI Is required Experience developing service components is required Experience with WCF using multiple protocols is preferred Experience with MSSQL is required Some experience with Azure Service Fabric or Classic Cloud Services is preferred Some experience with Azure Service Bus and other common Azure resources is preferred Extensive experience with JavaScript and jQuery is preferred Experience in Angular 2+ is preferred Specialized Knowledge and Skills: The candidateÂ mustÂ be very self-sufficient with a track record of delivering ready-for-market, extensively tested components. The candidate will be expected to learn the methodology of architecture and design used by the client.Â  Documentation of the architecture and design will be executed and reviewed before any code is written for each feature.",Chicago,IL,,"Harmer Consultants, Inc.",2019-02-06 06:12:34 +0000,43501,Contract,dice
Junior Software Developer,"RESPONSIBILITIES: Kforce has a client seeking a Junior Software Developer in Windsor, Connecticut (CT). Overview: The client is looking for a detail-oriented, results-driven Associate Software Developer, eager to learn and with a strong desire to grow their software development skills. Successful candidates will have basic knowledge of Object Oriented Design Methodologies, basic software development skills including but not limited to, familiarity with C# .NET, JavaScript, Web Development, MS SQL Server, SOA, and the ability to focus on commitments in an agile development environment. Candidates must have a willingness to understand existing processes and systems, possess strong interpersonal, and communication skills. They should be able to consult with senior team members & subject matter experts, be able to build relationships, be innovative thinkers, actively participate in scrum teams, be a team player, and understand the various business units within. Most of all, the candidates need to demonstrate exceptional customer orientation and customer focus.",Windsor,CT,arts design and media,Kforce Technology,2019-02-06 06:36:26 +0000,43501,Contract,careerbuilder
Junior Software Developer,"RESPONSIBILITIES: Kforce has a client seeking a Junior Software Developer in Windsor, Connecticut (CT). Overview: The client is looking for a detail-oriented, results-driven Associate Software Developer, eager to learn and with a strong desire to grow their software development skills. Successful candidates will have basic knowledge of Object Oriented Design Methodologies, basic software development skills including but not limited to, familiarity with C# .NET, JavaScript, Web Development, MS SQL Server, SOA, and the ability to focus on commitments in an agile development environment. Candidates must have a willingness to understand existing processes and systems, possess strong interpersonal, and communication skills. They should be able to consult with senior team members & subject matter experts, be able to build relationships, be innovative thinkers, actively participate in scrum teams, be a team player, and understand the various business units within. Most of all, the candidates need to demonstrate exceptional customer orientation and customer focus. REQUIREMENTS: * Bachelor's degree in Computer Science or related field * 0-3 years of experience programming/systems analysis and industry specific business expertise * 0-3 years of experience developing C# .NET applications * 0-3 years of experience working with Microsoft SQL Server * Strong understanding of Object Oriented design and methodologies * Demonstrate business and technical acumen for applications * Strong problem solving and analysis skills * Demonstrated ability to complete tasks within established timelines * Strong relationship building skills * Exceptional Communication skills - written and verbal * Detail-oriented Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Windsor,CT,,Kforce Technology Staffing,2019-02-06 06:36:42 +0000,43503,Contract,dice
Junior to Mid level Software Developer / Engineer - Java/C#/.NET/Sharepoint active Top Secret c,"General Dynamics Information Technology and CSRA have united to create the premier provider of high-tech IT solutions to the government IT market. Together as General Dynamics Information Technology, we deliver cost-effective, next-generation IT solutions and services to the Department of Defense, the intelligence community and federal civilian agencies as they modernize their information systems. CSRA/GDIT is looking for a Software Developer! This is a junior to mid level role, that will support several teams all using different systems. Any experience with any of the following will be considered: Java, J2EE, .NET, C#/SharePoint, C++, CSS, ASP, PHP, etc. Essential Job Functions: - Researches, designs, develops, and/or modifies enterprise-wide systems and/or applications software. - Involved in planning of system and development deployment as well as responsible for meeting software compliance standards. - Evaluates interface between hardware and software, operational requirements, and characteristics of overall system. - Documents testing and maintenance of system corrections. Duties for this role range from writing code, database administration, testing and maintaining different systems. Excellent opportunity for someone looking to grow their career in Software Development. Basic Qualifications BS or equivalent + 2 yrs related experience, or MS + 0 yrs experience Must have an active Top Secret clearance Must be able to obtain a Yankee White clearance #cjobs #dicepost #gdjobs",Dc Usa,WA,,General Dynamics Information Technology,2019-02-06 07:04:58 +0000,43496,Full Time,dice
Junior Level Software Developer (1-4 years experience),"A Full-time position at a financial technology company that develops software for financial structured products that runs on Bloomberg terminals. Pay Options: F/T Employee . Contact Jason Vu . call (646)876-9536 / (212)616-4800 ext.290 or email jason@sans.com with the Job Code JV33082 or Click the Apply Now button () . Location: Wall Street. Skills required for the position: PYTHON, Java , C++, SQL, UNIX. database programming Optional (not required): financial product knowledge Detailed Info: To do software development for a Financial Technology Software company that provides data and analytics and portfolio products for Credit and Structuring Traders. They create tools for structured products for the Buy side and the sell side. CLOs and structured products. For Trading Portfolios. They provide Data feeds and APIs to manage the portfolio of this product, also do middle office software for reporting and P&L . The product does front to middle office. They also provide APIs for developers in the buy side or sell side firms. CANDIDATES work in multiple projects at the same time. This company provides best in class software as a service.. Development/Computing Environment: Python is first choice, but also C++ and Java. People who've done a lot of programming in a lab at school or on the job in any kind of firm (does not have to be a financial firm/ can be a tech start up) MUST HAVE - Computer Science Undergrad / BS. Must have had an intensive background in programming either in school or at work employment. In school, have done work in a computer lab. They are language agonistic but their primary language is Python. * Must understand how to avoide Python memory leakage * Must understand garbage collection * Must understand how Python variables are saved in memory * Understand how to design an efficient parser. Skills required for the position: PYTHON, JAVA; C++ is optional. The position offers competitive compensation package.",New York,NY,,SANS,2019-02-07 05:30:50 +0000,43502,Full Time,dice
Junior to Mid level Software Developer / Engineer - Java/C#/.NET/Sharepoint active Top Secret c,"General Dynamics Information Technology and CSRA have united to create the premier provider of high-tech IT solutions to the government IT market. Together as General Dynamics Information Technology, we deliver cost-effective, next-generation IT solutions and services to the Department of Defense, the intelligence community and federal civilian agencies as they modernize their information systems. CSRA/GDIT is looking for a Software Developer! This is a junior to mid level role, that will support several teams all using different systems. Any experience with any of the following will be considered: Java, J2EE, .NET, C#/SharePoint, C++, CSS, ASP, PHP, etc. Essential Job Functions: - Researches, designs, develops, and/or modifies enterprise-wide systems and/or applications software. - Involved in planning of system and development deployment as well as responsible for meeting software compliance standards. - Evaluates interface between hardware and software, operational requirements, and characteristics of overall system. - Documents testing and maintenance of system corrections. Duties for this role range from writing code, database administration, testing and maintaining different systems. Excellent opportunity for someone looking to grow their career in Software Development. Basic Qualifications BS or equivalent + 2 yrs related experience, or MS + 0 yrs experience Must have an active Top Secret clearance Must be able to obtain a Yankee White clearance #cjobs #dicepost #gdjobs",Dc Usa,WA,,General Dynamics Information Technology,2019-02-07 07:02:11 +0000,43501,Full Time,dice
Junior Software Developer Engineer in Test (SDET),"Â  Description Â  The Information Technology Quality Assurance team is looking for a Software Developer Engineer in Test (SDET) with a focus in Performance. This candidate will be able to code, develop and maintain performance tests scripts. As a Software Developer Engineer in Test, you will identify performance bottlenecks through design, development, and execution of performance tests. You will provide support and guidance to the teams to ensure performance testing is providing visibility at every architectural level. Prefer candidates would possess at least one modern programming skill such as Java, C#, JavaScript, etc. Â  Responsibilities include, but are not limited to: Â  Code/Develop Test Plans to address the testing needs of load, stress and performance testing. Develops, executes and analyzes load tests for Web/REST API's/SOAP API's application. Develop quality automation code and ensuring extensive unit test coverage of the code. Maintenance of automation and performance code. Implements software quality assurance standards and processes. Maintains the quality and overall integrity of the test data. Provide support for defects when issues are uncovered. Analyzes test results and provides explanations of results to help in the tuning process. Preparing test reports. Â  Â  Requirements Bachelor or Master's degree in Computer Science or related technical field. 1-3 years' experience coding in one or more of the following languages: C#, JavaScript, Java, C/C++, Ruby or Python. Solid understanding in computer science fundamentals Algorithm design, Problem solving, Complexity analysis and data structures. Understanding of software architecture technologies/protocols is a plus (e.g. HTML, HTTP, XML, Citrix, Web Services, SOA, SOAP, Unix/Linux knowledge). Ability to plan and accomplish goals given in a timely fashion. Strong analytical and problem-solving skills. Excellent written and verbal communication skills. Experience implementing and executing on Microsoft Visual Studio &/or Neoload application is a plus. Experience with system monitoring tools (IBM Tivoli) is a plus. Â  Â  Â ",Carle Place,NY,,Donnelly & Moore Corporation,2019-02-08 05:32:35 +0000,43503,Contract,dice
Junior C# Software Developer,"Ref ID: 00900-0010840340 Classification: Software Engineer Compensation: $60,000.00 to $65,000.00 per year Robert Half Technology is looking for a Junior C# Software Engineer. This is an entry level software development position. Assisting the Development and QA teams in creating automated tests using C#. This position will entail work primarily on the UI and back end of our native mobile application for iOS and Android devices. In this role, you will learn our suite of products and gain the experience needed to become a productive member of the development team. Essential Job Functions ? Create and maintain UI tests using Xamarin UI Test for mobile devices using iOS and Android using C# ? Create and maintain tests for backend logic including but not limited to Clearwave?s internal API using C# ? Become an expert on our products and features ? Work closely with Mobile Development and Quality Assurance associates to understand the current code base and identify, design and create test suites/test cases for diverse projects to ensure all functional requirements are met ? Contribute to the development of and maintenance of manual and\or automated testing framework that facilitates functional testing, regression testing, and load/performance testing ? Partake monthly in maintenance releases or special releases as scheduled ? Work directly with our development and design team to provide input on functionality, product design, and product usability for Clearwave?s native mobile application ? Review any failed tests with developers and assist them in pushing new code to staging environments ? Ability to implement software quality best practices throughout the development life-cycle ? Maintain testing documentation and results of automated tests ? Attend Daily SCRUM ? Work on special projects as required",Dunwoody,GA,architecture and engineering,Robert Half Technology,2019-02-08 05:54:27 +0000,43503,Full Time,careerbuilder
Junior Software Developer,"Minimum Required Skills: Python, Java, JavaScript, Docker, GIT, AWS, Amazon Web Services, SQL, NoSQL, C If you are a Junior Software Developer with experience, please read on! Located in Downtown Chicago, IL, we are a newly yet well-funded technology start-up in the finance industry. We offer an inviting work culture, an amazing team, and we work with the latest and greatest technologies. We have also been featured in major media outlets for our innovative approach. What You Will Be Doing The Junior Software Developer will be responsible for building reusable code and libraries, unit testing, and ensure effective integration of software. Will be preparing and assisting for software deployments. What You Need for this Position At Least 1 Year of experience and knowledge of: - Python - Java - JavaScript - Docker - GIT - Amazon Web Services - SQL - NoSQL - Bash - C/C++ - PHP What's In It for You - Competitive Base Salary (DOE) - Full Health Benefits - Paid Time off (PTO) - Equity - Company perksSo, if you are a Junior Software Developer with experience, please apply today! Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume! Looking forward to receiving your resume and going over the position in more detail with you. - Not a fit for this position? Click the link at the bottom of this email to search all of our open positions. Looking forward to receiving your resume! CyberCoders CyberCoders, Inc is proud to be an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law. Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Copyright 1999 - 2019 . CyberCoders, Inc. All rights reserved.",Chicago,IL,,CyberCoders,2019-02-08 06:08:46 +0000,43503,Full Time,dice
Junior Software Developer,"Idexcel is looking for Junior Java Developer to join our team on a Full time basis Â  Job Title: Junior Java Developer Location: Herndon, VA Duration: Long term Â  Junior Java Developer We are looking for a motivated and confident Entry Level Java Developer who has a strong thirst for learning and a drive to succeed in their chosen career. Your ability to interact with people/teams and build strong collaborative working relationships with teams and colleagues will be second to none. In this role you will be assigned to a team that works on application development for long-standing clients. Your confidence in client/customer facing environments will be central to your achievement and enjoyment of this role.Â  Â  Job description: Code, test, debug, implement and document basic programs. Assist in the modification of company products and/or customer/internal systems to meet the needs of the client and/or end-user. Assist in the research and analysis of existing systems and program requirements. Assist in preparing documentation to change existing programs. Perform data analysis to support internal and external project needs. Design basic programs for projects or enhancements to existing programs. Â  Experience with Java application development: Experience in Java app-to-app integration (web-services). 1 yr exp in Spring, Hibernate, JavaScript, HTML,CSS, Java Script, AngularJS,J2EE Required Qualification: Masterâ€™s degree, preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline. Â  Â  Â  This is a great opportunity and if you have any interest in hearing more of the details please contact (Navya sree)Â  on and/or <snavya@idexcel.com> Â  About IDEXCEL, INC Idexcel is a IT services organization, with a mission to bring great people and great organizations together. Our diverse client base represents a wide range of industries, including technology, telecom, insurance, healthcare, manufacturing, banking & financial services, food & commodities trading and federal organizations. Our teams of experienced recruiters directly work with client companies seeking exceptional people to help with their business initiatives. Â  Idexcel, Inc. is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, national origin or any other characteristic protected under federal, state, or applicable local law. Â ",Herndon,VA,,Idexcel Inc.,2019-02-08 06:26:18 +0000,43503,Undefined,dice
